name,long,lat
Dwight School Preschool & Kindergarten,-73.98882189999999,40.7768249
San Jose Day Nursery Inc,-74.00437099999999,40.7451148
Preschool of the Arts @ Chelsea,-73.9956527,40.7410098
Corlears School,-74.00322659999999,40.7407704
Manhattan Nursery School,-73.9874152,40.7477712
Preschool of the Arts @ Flatiron,-73.9922383,40.7417041
Chelsea Day School,-73.985049,40.7470598
The Browning School,-73.9692663,40.765039
Pusteblume International Preschool,-74.0018494,40.739224
Sacred Heart of Jesus School,-73.99029689999999,40.76554489999999
Gold Material Montessori School NYC - Kips Bay Branch,-73.9781709,40.7407713
The Episcopal School,-73.9657699,40.76959859999999
Montessori Children's House,-122.3366915,37.553709
Child care,-122.3396291,37.5765181
Turnbull Children's Center,-122.326895,37.5771015
Sunnybrae Elementary School,-122.3130547,37.5617043
Beresford Montessori,-122.311428,37.553388
LEAD Elementary School,-122.3016472,37.5693268
North Shoreview Montessori,-122.3162435,37.5753737
St. Matthew's Episcopal Day School,-122.3270935,37.56566840000001
Baywood Elementary School,-122.3317847,37.5526052
College Park Elementary School,-122.3278906,37.5763316
San Mateo Park School,-122.3425758,37.568871
North Shoreview Montessori School,-122.3161914,37.5749234
Saints Peter and Paul School,-122.4104421,37.8014831
Redding Elementary School,-122.4191963,37.7896484
"Commodore Stockton, Early Education School",-122.4090968,37.7950577
Gordon J. Lau Elementary School,-122.408882,37.794337
Spring Valley Science School,-122.4189068,37.7943353
John Yehall Chin Elementary School,-122.4030926,37.7984631
Jean Parker Elementary School,-122.4113092,37.7974664
Edwin and Anita Lee Newcomer School,-122.4040823,37.7949069
Sarah B Cooper Child Development Center,-122.4151281,37.8009746
C5 Children's School,-122.418101,37.781089
Notre Dame Des Victoires School,-122.4066052,37.7912027
Garfield Elementary School,-122.4067497,37.80189350000001
Montessori House of Children,-122.4237309,37.7852975
Tenderloin Community School,-122.4200112,37.7819381
Montessori Discovery Garden,-118.4293281,34.05675300000001
UCLA Westwood Child Care Center,-118.4439421,34.062651
New Horizon School,-118.44603,34.043242
WorldSpeak School,-118.439371,34.052145
Westwood Charter School,-118.4303608,34.0470491
Fairburn Elementary School,-118.4311046,34.0591445
Nora Sterry Elementary School,-118.4471591,34.0443798
Sinai Akiba Academy,-118.428734,34.065989
Wildwood School,-118.4509236,34.033087
Brockton Avenue Elementary School,-118.4628551,34.043952
Richland Avenue Elementary School,-118.4402286,34.0283701
Overland Elementary School for Advanced Studies,-118.4212848,34.0382035
Brawerman Elementary School,-118.4482952,34.0353292
Trinity Early Childhood Program,-122.1792391,37.4563544
New Beginnings Preschool,-122.1834788,37.4434061
Addison Elementary School,-122.150499,37.44589850000001
Building Kidz of Menlo Park,-122.159756,37.461043
Casa dei Bambini School,-122.1467268,37.4267486
Willow Oaks School,-122.157303,37.4621
Downtown Palo Alto KinderCare,-122.1575523,37.4420759
Tru,-122.1469718,37.4447792
Odyssey Montessori,-122.157198,37.439599
Encinal Elementary School,-122.1861609,37.4648602
The Peninsula School,-122.1662783,37.4664
Nativity Elementary School,-122.1821803,37.4583342
Laurel School Lower Campus,-122.1718804,37.4668114
St Elizabeth Seton School,-122.1449576,37.4492345
First School,-122.1565381,37.4494134
Stanford University,-122.169719,37.4274745
Beverly Hills Presbyterian Preschool and Kindergarten,-118.4054552,34.0711043
Page Academy Private School,-118.3837681,34.0587961
Good Shepherd Catholic School Beverly Hills,-118.4076172,34.0652702
St Bernard's School,-122.1961609,37.7645668
Centro Infantil Early Childhood,-122.2299609,37.7826579
Edison Elementary School,-122.2350305,37.76436
Global Family Elementary School,-122.2132294,37.7794934
Think College Now,-122.230619,37.7793766
Rising Star Montessori School,-122.2316361,37.7587064
Alternatives In Action,-122.2316107,37.7812336
St Philip Neri School,-122.2333041,37.757445
International Community School,-122.230619,37.7793766
Ann Street Elementary School,-118.2301168,34.0643969
Los Angeles Universal Pre School,-118.2616772,34.0466363
La Petite Academy of Los Angeles,-118.237355,34.055342
Hope Street Friends managed by Bright Horizons,-118.252486,34.0529142
Para Los Niños - Evelyn Thurman Gratts Primary School,-118.2638085,34.0560461
Union Avenue Elementary School,-118.266572,34.064311
Albion Elementary School,-118.2204668,34.0690885
Castelar Street Early Education Center,-118.239615,34.064108
Jardin de la Infancia School,-118.2488478,34.0424255
The Kensington Kindergarten,-0.1906825,51.5000505
The Kindergartens : Pooh Corner W8,-0.1997418,51.5069057
The Acorn Nursery School,-0.2059893,51.5109921
Anglo-Russian Pre-school,-0.1778335,51.5330092
Willcocks Nursery School,-0.1785739,51.4999016
Les Chatons - The French Nursery School,-0.1906825,51.5000505
Tobin Beaudet Schools,-71.23548219999999,42.2777326
Needham Heights KinderCare,-71.2347609,42.291345
Newman Elementary School,-71.2561456,42.28197309999999
Mitchell Elementary School,-71.2226056,42.2887548
Grandin Elementary School,-113.5106372,53.53700809999999
John A. McDougall School,-113.505167,53.555588
M A C Islamic School,-113.542019,53.563305
Durham Pre-school Learning Alliance,-1.6035962,54.6961604
Rosa Street Primary School,-1.6081774,54.6974355
