name,long,lat
Hunter,-73.95410679999999,40.785624
Park West High School,-73.99308309999999,40.7653346
NYC Lab School for Collaborative Studies,-74.0023709,40.7425709
New York City Guitar School,-73.99421,40.749432
New York City Board-Education,-73.9929049,40.7474253
School,-73.96650149999999,40.7672059
Beacon School,-73.9964725,40.7610515
Public School 84 JOSE DE DIEGO,-73.96301009999999,40.7150494
School of the Future,-73.9853658,40.7390867
School,-73.98463240000001,40.7702955
Avenues: The World School,-74.00325,40.74959399999999
The Windward School - Manhattan Lower and Middle Schools,-73.94989869999999,40.7829155
New York Alt High School,-73.99255409999999,40.7529968
Dwight School,-73.968128,40.787495
City & Country School,-73.9993928,40.7374075
The Dalton School,-73.95508699999999,40.781585
St Luke's School,-74.0067037,40.7325862
Marymount School of New York,-73.96136820000001,40.7799655
Portfolio School,-74.0085304,40.7187471
City-As-School,-74.0060997,40.7291091
Black Mountain Elementary School,-111.953875,33.790576
A Carefree Traffic Survival School,-111.9209028,33.8241483
Foothills Academy,-111.9264217,33.776485
Our Lady of Joy Catholic Preschool,-111.8899998,33.8196762
Cactus Shadows High School,-111.9562547,33.7848147
Foothills Academy College Prep,-111.927495,33.7768383
Black Mountain Ballpark,-111.9550422,33.7912608
"Epicurean Palette, LLC",-111.939487,33.8324327
Quality Interactive Montessori,-111.951652,33.834115
Bella Vista College Preparatory School,-111.9590698,33.78852639999999
Education & Community Services,-111.9533119,33.786085
Cave Creek Unified School District,-111.9534865,33.7857038
Futures Academy - San Mateo,-122.2799862,37.5584634
Ronald C. Wornick Jewish Day School,-122.2676342,37.5576489
The Nueva School Hillsborough Campus,-122.3809035,37.5620457
The Carey School,-122.318754,37.544701
The Nueva School San Mateo Campus,-122.2996261,37.5439281
Foster City Elementary School,-122.2735413,37.5461173
Roosevelt Elementary School,-122.369779,37.579646
Washington Elementary School,-122.3404663,37.5805512
Abbott Middle School,-122.3092709,37.5303635
Odyssey School,-122.3493084,37.53422279999999
Crystal Springs Uplands School,-122.3387003,37.5579671
Crocker Middle School,-122.3636936,37.5658681
Borel Middle School,-122.3215136,37.5499646
San Mateo-Foster City School District,-122.2736234,37.5660877
St. Matthew's Episcopal Day School,-122.3270935,37.56566840000001
Happy Mozart Music School,-122.3184165,37.5617147
LEAD Elementary School,-122.3016472,37.5693268
Lincoln Elementary School,-122.3791195,37.5880802
