Big50,countries
Nintendo,Japan
Valve Corporation,USA
Rockstar Games,USA
Electronic Arts,USA
Activision Blizzard,USA
Sony Computer Entertainment,Japan
Ubisoft,France
Sega Games Co. Ltd,Japan
BioWare,Canada
Naughty Dog Inc,USA
Square Enix Holdings Co. Ltd,Japan
Capcom Company Ltd,Japan
Bungie Inc,USA
Microsoft Corporation,USA
Bandai Namco Entertainment,Japan
Mojang,Sweden
Epic Games,USA
Game Freak,Japan
Insomniac Games Inc,USA
Infinity Ward,USA
Take-Two Interactive Software Inc,USA
Gameloft,France
ZeniMax Media Inc,USA
NCSOFT,Korea
Blizzard Entertainment Inc,USA
Zynga,USA
Nexon Co. Ltd,Japan
Konami Holdings Corporations,Japan
Bethesda Game Studios,USA
Double Fine Productions Inc.,USA
id Software,USA
Rare,UK
Retro Studios,USA
Sonic Team,Japan
LucasArts,USA
Level-5 Company,Japan
Atari,USA
Thatgamecompany LLC,USA
Beenox,Canada
1C Company,Russia
EA Maxis,USA
Polyphony Digital,Japan
EA Dice,Sweden
Intelligent Systems Co. Ltd,Japan
SCE Santa Monica Studio,USA
EA Canada,Canada
PopCap Games,USA
Petroglyph Games,USA
Relic,Canada
Treasure Co. Ltd,Japan
