Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Tinybop,https://angel.co/company/tinybop,5,Jul '13,New York City,Kids,http://www.tinybop.com,1-10,Seed,6000000
Yousician,https://angel.co/company/yousician,5,Jun '11,New York City,Mobile Games,https://company.yousician.com/,51-200,Seed,1400000
GameGround,https://angel.co/company/gameground,5,Aug '13,New York City,Gamification,http://www.gameground.com/,11-50,Seed,11400000
Free Awesome,https://angel.co/company/free-awesome,5,Jan '12,New York City,Lead Generation,http://www.freeawesome.com,1-10,"",""
FreshPlanet,https://angel.co/company/freshplanet,5,Apr '12,New York City,Mobile Games,http://www.freshplanet.com,1-10,Series A,10750500
WayBetter,https://angel.co/company/waybetter,5,Aug '12,New York City,Gamification,http://www.waybetter.com,11-50,Series A,4750000
red5 Capital,https://angel.co/company/red5-capital,5,May '12,New York City,Green Consumer Goods,"",1-10,"",""
Intrade (2.0),https://angel.co/company/intrade-2-0,5,Oct '12,New York City,Prediction Markets,http://www.intrade.com,1-10,"",""
TreSensa,https://angel.co/company/tresensa,5,Apr '12,New York City,Mobile Games,http://www.TreSensa.com,11-50,Seed,7420954
RayV,https://angel.co/company/rayv,5,Feb '12,New York City,Peer-to-Peer,http://rayv.com,"","",16000000
Just Sing It,https://angel.co/company/just-sing-it,5,Apr '13,New York City,Social Media Platforms,http://www.justsingit.com,1-10,Seed,1000000
MoviePass,https://angel.co/company/moviepass,5,Oct '13,New York City,Film,http://www.moviepass.com,1-10,"",12245000
Krossover,https://angel.co/company/krossover,5,Aug '10,New York City,Social Games,http://www.krossover.com,51-200,Acquired,38024000
DRAFT,https://angel.co/company/playdraft,5,Jul '10,New York City,Fantasy Sports,https://draft.com/,11-50,Acquired,54600000
Plyfe,https://angel.co/company/plyfe,5,Aug '12,New York City,Digital Media,http://www.plyfe.com,1-10,"",1750000
OMGPOP,https://angel.co/company/omgpop,5,Jan '12,New York City,Auctions,http://www.omgpop.com/,"",Acquired,16600000
Motionbox,https://angel.co/company/motionbox,5,Jul '14,New York City,Video Streaming,http://www.motionbox.com/,"",Acquired,17200000
Battlefy,https://angel.co/company/battlefy,5,May '13,Vancouver,Fantasy Sports,http://battlefy.com,11-50,Seed,3700000
Dots,https://angel.co/company/dots,5,Oct '14,New York City,Mobile Games,http://weplaydots.com,51-200,"",10000000
Hopscotch,https://angel.co/company/hopscotch,5,Oct '14,New York City,Kids,https://gethopscotch.com,1-10,Seed,1200000
Comixology,https://angel.co/company/comixology,5,Jan '12,New York City,Games,http://www.comixology.com,"",Acquired,3450000
Knozen,https://angel.co/company/knozen,5,Mar '14,New York City,Mobile Games,http://www.knozen.com,1-10,Seed,2250000
Thumbplay,https://angel.co/company/thumbplay,5,Jan '12,New York City,Cloud Computing,http://www.thumbplay.com,"",Acquired,41500019
FanDuel,https://angel.co/company/fanduel,5,Apr '15,Orlando,Gambling,http://www.fanduel.com,501-1000,"",361200000
pivit,https://angel.co/company/binary-event-network-2,5,Jun '14,New York City,Mobile Games,http://www.pivit.io,11-50,"",""
Surre.al,https://angel.co/company/surre-al,5,Oct '11,New York City,Virtual Worlds,http://surre.al,1-10,"",300000
Iga Worldwide,https://angel.co/company/iga-worldwide,5,Jan '12,New York City,Games,http://www.igaworldwide.com,"","",51400000
Electronic Gaming Federation,https://angel.co/company/egf,5,Nov '15,New York City,College Campuses,http://www.egfederation.com,1-10,"",""
Shadow Government,https://angel.co/company/shadow-government,5,May '11,New York City,iPad,http://www.shadow-government.com/,"",Seed,1000000
Complex Media,https://angel.co/company/complex-media,5,Jan '12,New York City,Games,http://www.complexmedianetwork.com/,"","",39533695
AppExtras,https://angel.co/company/appextras,5,Feb '12,New York City,Mobile Advertising,http://www.appextras.com/,"","",""
Dibsie,https://angel.co/company/dibsie,5,Aug '11,New York City,E-Commerce Platforms,http://dibsie.com,"",Seed,450000
Rolling.FM,https://angel.co/company/rolling-fm,5,Apr '11,New York City,Online Dating,http://www.rolling.fm,"","",""
Adaptiveblue,https://angel.co/company/adaptiveblue,5,Jan '12,New York City,Reviews and Recommendations,http://www.adaptiveblue.com,"","",24020000
Live Gamer,https://angel.co/company/live-gamer,5,Jan '12,New York City,Virtual Goods,http://livegamer.com,"",Series C,43100000
Socialbomb,https://angel.co/company/socialbomb,5,Jan '12,Brooklyn,Location Based Services,http://www.socialbomb.com/,"",Seed,240000
Performance Predictions,https://angel.co/company/performancepredictions,5,May '15,Atlanta,Gambling,http://www.myprizepicks.com,11-50,"",""
Women Innovate Mobile (WIM) Accelerator ,https://angel.co/company/women-innovate-mobile-wim-accelerator,5,Jan '12,New York City,Mobile Commerce,http://wim.co,1-10,"",""
Body Labs,https://angel.co/company/body-labs,5,Mar '15,New York City,Fitness,http://www.bodylabs.com,11-50,"",14300000
Joost,https://angel.co/company/joost,5,Jan '12,New York City,Television,http://joost.com,"",Acquired,45000000
Experiment 7,https://angel.co/company/experiment-7,5,Nov '15,San Diego,Mobile Games,"",1-10,"",""
