name,address,long,lat
Ps 101 Manhattan,"141 E 111th St, New York, NY 10029, United States",-73.9443835,40.7959052
Maryknoll Kindergarten,"10 Confucius Plz, New York, NY 10002, United States",-73.9958123,40.7147169
Dwight School Preschool & Kindergarten,"144 Riverside Blvd, New York, NY 10069, United States",-73.98882189999999,40.7768249
Elements Preschool Kindergarten New York,"99 Suffolk St, New York, NY 10002, United States",-73.9863111,40.7187561
Lexington Childrens' Center,"115 E 98th St, New York, NY 10029, United States",-73.9508974,40.7880607
Rodeph Sholom School:Pre-Kindergarten,"10 W 84th St, New York, NY 10024, United States",-73.97116849999999,40.7841385
Cathedral Parkway Tower Preschool,"125 W 109th St #3, New York, NY 10025, United States",-73.9628267,40.8019255
Public School 190,"334 Greenwich St, New York, NY 10013, United States",-74.010942,40.7180827
San Jose Day Nursery Inc,"432 W 20th St, New York, NY 10011, United States",-74.00437099999999,40.7451148
HOLA NYC,"263 W 86th St, New York, NY 10024, United States",-73.9772512,40.7888908
Escalera Head Start,"169 W 87th St, New York, NY 10024, United States",-73.973511,40.788186
Yorkville Kindergarten,"352 E 78th St, New York, NY 10075, United States",-73.9539033,40.7717343
East Calvary Nursery School,"1 W 112th St, New York, NY 10026, United States",-73.9485097,40.7984982
St Mark the Evangelist Preschool,"67 W 138th St, New York, NY 10037, United States",-73.9387879,40.8159622
St Ignatius Day Nursery,"240 E 84th St, New York, NY 10028, United States",-73.95339299999999,40.7766019
Manhattan Nursery School,"38 W 32nd St #306, New York, NY 10001, United States",-73.9874152,40.7477712
Horace Mann Nursery School,"55 E 90th St, New York, NY 10128, United States",-73.95623739999999,40.7833056
Town House International School,"1209 Park Ave, New York, NY 10128, United States",-73.9529396,40.7854482
Harlem Children's Zone,"35 E 125th St, New York, NY 10035, United States",-73.9407498,40.8059549
Morningside Montessori School,"251 W 100th St #6, New York, NY 10025, United States",-73.9708053,40.7977685
