name,address,long,lat
Lavo Nightclub,"39 E 58th St, New York, NY 10022, United States",-73.97143009999999,40.7629192
The Copacabana Times Square,"268 West 47th Street, 8th Ave, New York, NY 10036, United States",-73.9872589,40.760166
Marquee New York,"289 10th Ave, New York, NY 10001, United States",-74.0028169,40.7500242
Club Cache,"35 E 13th St 2nd Fl, New York, NY 10003, United States",-73.99195999999999,40.734514
Le Bain,"The Standard, High Line, 848 Washington St, New York, NY 10014, United States",-74.0079698,40.7408249
Sound Of Brazil,"204 Varick St, New York, NY 10014, United States",-74.0051241,40.7284492
1 OAK,"453 W 17th St, New York, NY 10011, United States",-74.0062324,40.7439224
Clubs In NYC,"511 6th Ave, New York, NY 10011, United States",-73.99748799999999,40.7369455
Avenue,"116 10th Ave, New York, NY 10011, United States",-74.0064306,40.744093
Nightclubs in NYC,"2078 2nd Ave, New York, NY 10029, United States",-73.9418893,40.7909991
Fat Black Pussycat,"130 W 3rd St, New York, NY 10012, United States",-74.00093129999999,40.7307334
FREQ,"637 W 50th St, New York, NY 10019, United States",-73.99621499999999,40.766805
The Tunnel Nightclub,"220 12th Ave, New York, NY 10001, United States",-74.0072313,40.7526027
Retroclubnyc,"694 8th Ave 2nd Fl, New York, NY 10036, United States",-73.98880079999999,40.7582948
The Pyramid Club,"101 Avenue A #1, New York, NY 10009, United States",-73.9839495,40.7258183
The Monster,"80 Grove St, New York, NY 10014, United States",-74.0021091,40.7334189
PHD Lounge,"355 W 16th St, New York, NY 10011, United States",-74.00347909999999,40.7423311
Mission NYC,"229 W 28th St, New York, NY 10001, United States",-73.99474219999999,40.7480006
760 Club,"760 8th Ave, New York, NY 10036, United States",-73.9875789,40.7600361
Vodka Soda Bottoms Up,"315 W 46th St, New York, NY 10036, United States",-73.988631,40.76033
