name,address,long,lat
Monarch,"101 6th St, San Francisco, CA 94103, United States",-122.4084623,37.7809871
F8,"1192 Folsom St, San Francisco, CA 94103, United States",-122.4099614,37.775291
The Grand,"520 4th St, San Francisco, CA 94107, United States",-122.3979003,37.7790996
HUE,"447 Broadway, San Francisco, CA 94133, United States",-122.4047847,37.797948
Temple Nightclub San Francisco,"1st Floor, 540 Howard St, San Francisco, CA 94105, United States",-122.3972472,37.787956
OMG,"43 6th St, San Francisco, CA 94103, United States",-122.4094601,37.7817098
STRATOS NIGHT CLUB,"358 Ocean Ave, San Francisco, CA 94112, United States",-122.4441361,37.7231117
Audio Nightclub,"316 11th St, San Francisco, CA 94103, United States",-122.413792,37.771362
The EndUp,"401 6th St, San Francisco, CA 94103, United States",-122.403745,37.77731199999999
OASIS,"298 11th St, San Francisco, CA 94103, United States",-122.4144509,37.771972
City Nights,"715 Harrison St, San Francisco, CA 94107, United States",-122.3976355,37.7820604
Love + Propaganda,"85 Campton Pl, San Francisco, CA 94108, United States",-122.4065981,37.7887903
The Holy Cow,"1535 Folsom St, San Francisco, CA 94103, United States",-122.4143099,37.7713746
Raven Bar,"1151 Folsom St, San Francisco, CA 94103, United States",-122.4088667,37.7757717
Origin,"1538 Fillmore St, San Francisco, CA 94115, United States",-122.4325529,37.7838841
Monroe,"473 Broadway, San Francisco, CA 94133, United States",-122.4049508,37.797965
DNA Lounge,"375 11th St, San Francisco, CA 94103, United States",-122.4126502,37.7710938
Harlot,"46 Minna St, San Francisco, CA 94105, United States",-122.3981969,37.7885694
Halcyon SF,"314 11th St, San Francisco, CA 94103, United States",-122.4139198,37.771465
Make-Out Room,"3225 22nd St, San Francisco, CA 94110, United States",-122.4193588,37.7552647
