Id,name,category,description,lat,long,year,money_raised
52cdef7c4bab8bd675297d90,Postini,web,,37.506885,-122.247573,1999,$0
52cdef7c4bab8bd675297d91,Geni,web,Geneology social network site,34.090368,-118.393064,2006,$16.5M
52cdef7c4bab8bd675297d8d,Digg,news,user driven social content website,37.764726,-122.394523,2004,$45M
52cdef7c4bab8bd675297d96,Gizmoz,web,Photo animation,37.48413,-122.169472,2003,$18.1M
52cdef7c4bab8bd675297d98,Slacker,music,Music Personalization Suite,33.022176,-117.081406,2006,$73.1M
52cdef7c4bab8bd675297d9a,Helio,mobile,Mobile Virtual Network Operator,34.057498,-118.446596,2005,$0
52cdef7c4bab8bd675297d97,Scribd,news,Read Unlimited Books,37.789634,-122.404052,2007,$25.8M
52cdef7c4bab8bd675297d9c,MeetMoi,social,Mobile Dating,40.757929,-73.985506,2007,$5.58M
52cdef7c4bab8bd675297d9d,Joost,games_video,,40.7464969,-74.0094471,2006,$45M
52cdef7c4bab8bd675297da1,Plaxo,web,Contact Management,37.387845,-122.055197,2002,$28.3M
52cdef7c4bab8bd675297d94,Twitter,social,Real time communication platform,37.7768052,-122.4169244,2006,$1.16B
52cdef7c4bab8bd675297d8e,Facebook,social,Social network,37.41605,-122.151801,2004,$2.43B
52cdef7c4bab8bd675297d8e,Facebook,social,Social network,53.344104,-6.267494,2004,$2.43B
52cdef7c4bab8bd675297d8e,Facebook,social,Social network,40.7557162,-73.9792469,2004,$2.43B
52cdef7c4bab8bd675297da4,Powerset,search,,37.778613,-122.395289,2006,$22.5M
52cdef7c4bab8bd675297da9,Mahalo,web,Life long learning content,34.017606,-118.487267,2007,$21M
52cdef7c4bab8bd675297dab,Kyte,games_video,Online & Mobile Video Platform,37.788482,-122.409173,2006,$23.4M
52cdef7c4bab8bd675297dac,Veoh,games_video,Internet TV service,32.902266,-117.20834,2004,$69.8M
52cdef7c4bab8bd675297daf,Jingle Networks,mobile,Voice and Mobile Search,37.480999,-122.173887,2005,$88.7M
52cdef7c4bab8bd675297db2,Meetup,web,Local community,40.72604,-73.995722,2002,$18.3M
52cdef7c4bab8bd675297db8,SmugMug,photo_video,Awesome Photo & Video Sharing,37.390056,-122.067692,2002,$0
52cdef7c4bab8bd675297db5,LifeLock,security,Identity theft protection,33.429859,-111.938739,2005,$178M
52cdef7c4bab8bd675297da5,Technorati,advertising,Advertising platform/Publisher network,37.779558,-122.393041,2002,$32.1M
52cdef7c4bab8bd675297db9,Prosper,finance,p2p lending marketplace,37.78976,-122.402524,2006,$120M
52cdef7c4bab8bd675297dbf,blogTV,games_video,,31.046051,34.851612,2006,$3M
52cdef7c4bab8bd675297dbb,Jajah,mobile,IP Communications Platform,37.4233896,-122.0899512,2005,$33M
52cdef7c4bab8bd675297dc2,AdaptiveBlue,games_video,,40.801358,-74.3372,2007,$24M
52cdef7c4bab8bd675297dc3,Pando Networks,games_video,Accelerating large media delivery,40.722655,-73.99873,2004,$11M
52cdef7c4bab8bd675297dc0,Livestream,games_video,Live streaming platform and website,40.726155,-73.995625,2007,$14.7M
52cdef7c4bab8bd675297dc6,Ikan,web,,41.049051,-73.563878,2003,$0
52cdef7c4bab8bd675297dc5,GrandCentral,mobile,,37.465645,-121.932202,2006,$4M
52cdef7c4bab8bd675297dbd,YouTube,games_video,Online video sharing,37.627971,-122.426804,2005,$11.5M
52cdef7c4bab8bd675297dc8,Topix,web,,37.44296,-122.151198,2002,$15M
52cdef7c4bab8bd675297dcd,CriticalMetrics,web,,37.269175,-119.306607,2007,$100k
52cdef7c4bab8bd675297dca,Pownce,web,Microblogging,37.762541,-122.397224,2007,$0
52cdef7c4bab8bd675297dce,ZenZui,mobile,,47.620716,-122.347533,2007,$0
52cdef7c4bab8bd675297dcf,Spock,search,Search Engine Utilizing Social Media,37.488336,-122.217964,2006,$7M
52cdef7c4bab8bd675297dc9,Jobster,search,job-focused vertical search engine,47.617682,-122.357242,2004,$52.5M
52cdef7c4bab8bd675297dd0,Wize,ecommerce,eCommerce Product Reviews,37.559287,-122.302262,2006,$4.99M
52cdef7c4bab8bd675297dd1,SodaHead,web,Online Community and Discussion,37.269175,-119.306607,2007,$12.7M
52cdef7c4bab8bd675297dd2,CastTV,games_video,,37.780716,-122.393913,2006,$3.1M
52cdef7c4bab8bd675297dcb,Revision3,games_video,Web television network,37.757758,-122.388243,2005,$9M
52cdef7c4bab8bd675297dd3,iSkoot,mobile,Mobile VOIP service,42.375392,-71.118487,2005,$32.2M
52cdef7c4bab8bd675297dd3,iSkoot,mobile,Mobile VOIP service,37.780134,-122.396744,2005,$32.2M
52cdef7c4bab8bd675297dd9,Steorn,web,,53.354997,-6.229255,2000,$0
52cdef7c4bab8bd675297dd8,Funny Or Die,games_video,comedy video website,37.421621,-122.137444,2007,$18M
52cdef7c4bab8bd675297ddb,MeeVee,games_video,Personalized TV Guide,37.590339,-122.341715,2000,$25M
52cdef7c4bab8bd675297dde,ClipBlast!,web,,34.155211,-118.756618,2005,$0
52cdef7c4bab8bd675297ddc,blinkx,games_video,,37.793819,-122.395089,2004,$0
52cdef7c4bab8bd675297de6,Wakoopa,web,Social network for desktop software,52.3745228,4.8948623,2007,$1M
52cdef7c4bab8bd675297de9,Zamzar,web,Free online file conversion,50.9444598,-1.3610845,2006,$0
52cdef7c4bab8bd675297de0,Yelp,search,Local search and review site,37.786183,-122.402195,2004,$90M
52cdef7c4bab8bd675297deb,SideStep,web,,37.374998,-121.977853,1999,$32M
52cdef7c4bab8bd675297ded,Farecast,search,Airfare Prediction Service,47.620982,-122.359397,2003,$20.6M
52cdef7c4bab8bd675297df1,ConVerdge,enterprise,,34.0126379,-118.495155,2006,$0
52cdef7c4bab8bd675297dec,coRank,web,,37.36965,-122.02421,2007,$0
52cdef7c4bab8bd675297df2,Pageflakes,web,AJAX Homepage Service,37.758113,-122.414689,2006,$4.1M
52cdef7c4bab8bd675297df3,Instructables,web,,37.7791761,-122.4058887,2005,$0
52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,40.7516611,-73.9843328,2004,$32M
52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,33.991101,-118.468707,2004,$32M
52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,37.7891086,-122.4016144,2004,$32M
52cdef7c4bab8bd675297def,KickApps,enterprise,Social media applications and widgets,51.5094731,-0.1356235,2004,$32M
52cdef7c4bab8bd675297df0,RockYou,games_video,Social Gaming Company,37.484619,-122.206893,2005,$136M
52cdef7c4bab8bd675297df8,Flickr,web,Photo sharing website,37.418531,-122.025485,2004,$0
52cdef7c4bab8bd675297dfd,CrowdVine,web,Conference Social Networks,37.90077,-122.511687,2007,$0
52cdef7c4bab8bd675297dfb,WeFi,mobile,Wifi Network Dicovery Tool,37.09024,-95.712891,2006,$10M
52cdef7c4bab8bd675297e00,TVtrip,web,Video guide for hotels,48.856667,2.350987,2007,$13.8M
52cdef7c4bab8bd675297e02,Dogster,web,,37.762681,-122.400909,2004,$1M
52cdef7c4bab8bd675297df7,Bebo,web,Social Network,37.782103,-122.401116,2005,$15M
52cdef7c4bab8bd675297e07,WatZatSong,web,,48.866323,2.381514,2006,$0
52cdef7c4bab8bd675297e01,Zazzle,ecommerce,,37.5108541,-122.2013557,1999,$46M
52cdef7c4bab8bd675297dfe,FeedBurner,web,,41.889474,-87.628912,2004,$8M
52cdef7c4bab8bd675297e05,CornerWorld,public_relations,Marketing and Technology Services,32.914662,-96.771281,2002,$0
52cdef7c4bab8bd675297e08,Loomia,web,Recomendation engine,37.796396,-122.404869,2004,$7.5M
52cdef7c4bab8bd675297dff,TheFind,ecommerce,,37.391502,-122.073463,2006,$26M
52cdef7c4bab8bd675297e0b,Newsvine,web,,47.618599,-122.358484,2005,$1.25M
52cdef7c4bab8bd675297e0d,FlickIM,mobile,chat programs,37.870744,-122.269259,2006,$1.6M
52cdef7c4bab8bd675297e0e,Jamendo,other,,49.6026778,6.1329985,2005,$0
52cdef7c4bab8bd675297e0f,Terabitz,web,,37.437328,-122.159928,2006,$10M
52cdef7c4bab8bd675297e0a,Eventbrite,web,Online event management & ticketing,37.779507,-122.39071,2006,$140M
52cdef7c4bab8bd675297e11,iLike,games_video,social music discovery site,47.615313,-122.323408,2002,$16.5M
52cdef7c4bab8bd675297e14,Carbonite,network_hosting,,42.350571,-71.076869,2006,$66M
52cdef7c4bab8bd675297e17,Kaboodle,ecommerce,,37.382162,-122.036301,2005,$5M
52cdef7c4bab8bd675297e1b,Go2Web20,web,,32.0554,34.7595,2006,$0
52cdef7c4bab8bd675297e1a,Wink,search,,37.40047,-122.072981,2004,$6.2M
52cdef7c4bab8bd675297e1e,TechnologyGuide,web,,39.06685,-84.351532,2001,$0
52cdef7c4bab8bd675297e15,Conduit,advertising,Platform for branded apps,37.561877,-122.325248,2005,$110M
52cdef7c4bab8bd675297e18,GigaOM,news,,37.775196,-122.419204,2006,$14.3M
52cdef7c4bab8bd675297e18,GigaOM,news,,40.7143528,-74.0059731,2006,$14.3M
52cdef7c4bab8bd675297e19,Redfin,real_estate,Online Real Estate ,47.603122,-122.333253,2004,$96.8M
52cdef7c4bab8bd675297e10,Box,network_hosting,Cloud Content Management,37.425801,-122.143701,2005,$409M
52cdef7c4bab8bd675297e22,Techmeme,web,,37.7618242,-122.3985871,2004,$0
52cdef7c4bab8bd675297e20,Zvents,web,Local events and entertainment guides,37.553121,-122.301534,2005,$31.2M
52cdef7c4bab8bd675297e1d,Seesmic,web,Social software applications,37.775196,-122.419204,2007,$16M
52cdef7c4bab8bd675297e0c,LinkedIn,social,Professional Social Networking,37.423258,-122.073635,2003,$200M
52cdef7c4bab8bd675297e2a,Cofoundr,network_hosting,,37.796164,-122.420903,2007,$0
52cdef7c4bab8bd675297e25,Oodle,social,aggregator of classifieds ,37.563585,-122.324621,2004,$23.1M
52cdef7c4bab8bd675297e2c,Recipezaar,web,,47.420728,-122.450942,1999,$0
52cdef7c4bab8bd675297e2e,stylediary,web,,34.070436,-118.350486,2004,$0
52cdef7c4bab8bd675297e2d,Gumiyo,web,,34.184598,-118.601532,2006,$0
52cdef7c4bab8bd675297e30,GoingOn,software,Private Academic Networks,37.782263,-122.392142,2008,$8.5M
52cdef7c4bab8bd675297e28,ooma,hardware,VOIP for home telephones,37.451958,-122.116026,2004,$81.3M
52cdef7c4bab8bd675297e33,MyPublicInfo,web,,38.897428,-77.072003,2004,$0
52cdef7c4bab8bd675297e27,Simply Hired,search,Job Search Engine and Recruiting Network,37.4219165,-122.0780632,2004,$22.3M
52cdef7c4bab8bd675297e26,oDesk,web,Online workplace,37.479952,-122.178557,2005,$44M
52cdef7c4bab8bd675297e35,Checkster,web,,37.905544,-122.547445,2006,$0
52cdef7c4bab8bd675297e31,Flixster,web,Movie social networking,37.766909,-122.406676,2006,$7.18M
52cdef7c4bab8bd675297e3a,Spreadshirt,advertising,online platform for apparel merch,40.437985,-80.004195,2002,$12.7M
52cdef7c4bab8bd675297e3d,IceRocket,search,,32.781078,-96.797111,2004,$300k
52cdef7c4bab8bd675297e3e,spigit,software,Purpose-built social networking platform,37.6637279,-121.8731805,2006,$55.6M
52cdef7c4bab8bd675297e3e,spigit,software,Purpose-built social networking platform,38.9590083,-77.3592746,2006,$55.6M
52cdef7c4bab8bd675297e3e,spigit,software,Purpose-built social networking platform,51.5170385,-0.1394759,2006,$55.6M
52cdef7c4bab8bd675297e41,ConnectMeAnywhere,web,,51.514935,-0.205349,2006,$0
52cdef7c4bab8bd675297e3b,Socialtext,enterprise,Enterprise Social Software/Collaboration,37.442949,-122.1615,2002,$46.8M
52cdef7c4bab8bd675297e45,Clipperz,web,,44.418166,11.978686,2005,$0
52cdef7c4bab8bd675297e3c,Bazaarvoice,software,Word of mouth marketing,30.407545,-97.717667,2005,$131M
52cdef7c4bab8bd675297e44,hi5,games_video,,37.788668,-122.400558,2003,$52M
52cdef7c4bab8bd675297e4c,Cerado,web,,37.774321,-122.415375,2002,$0
52cdef7c4bab8bd675297e48,37signals,public_relations,Frustration-free web-based apps,41.8892178,-87.6557234,1999,$0
52cdef7c4bab8bd675297e47,ScanScout,advertising,video advertising network,42.340889,-71.051931,2005,$17.5M
52cdef7c4bab8bd675297e47,ScanScout,advertising,video advertising network,40.739833,-73.993158,2005,$17.5M
52cdef7c4bab8bd675297e47,ScanScout,advertising,video advertising network,34.050887,-118.459995,2005,$17.5M
52cdef7c4bab8bd675297e46,Tagged,social,,37.7753,-122.4186,2004,$28.7M
52cdef7c4bab8bd675297e4f,introNetworks,web,,34.42071,-119.641821,2003,$2.7M
52cdef7c4bab8bd675297e4e,ONEsite,other,Social Networking Software Platform,35.612679,-97.5736,2005,$0
52cdef7c4bab8bd675297e4b,Jaxtr,mobile,VOIP phone calls to mobile phones,37.451026,-122.18676,2005,$21.5M
52cdef7c4bab8bd675297e53,Wallhogs,public_relations,,40.30305,-79.462703,2006,$0
52cdef7c4bab8bd675297e54,Respectance,web,#RIP,37.55909,-122.321836,2006,$1.75M
52cdef7c4bab8bd675297e57,GoLightly,software,,37.898575,-122.537302,2005,$0
52cdef7c4bab8bd675297e5c,Kiptronic,advertising,Digital video ad platform,37.792394,-122.402349,2005,$7.3M
52cdef7c4bab8bd675297e60,FeVote,web,,37.779392,-122.417928,2007,$0
52cdef7c4bab8bd675297e5e,Zenfolio,network_hosting,,37.4484914,-122.1802812,2005,$0
52cdef7c4bab8bd675297e65,Relationals,web,,37.384651,-121.992132,2007,$0
52cdef7c4bab8bd675297e62,JumpBox,software,Open Source as a service,33.429864,-111.944967,2006,$0
52cdef7c4bab8bd675297e58,eBuddy,messaging,Web and mobile messaging,52.3640933,4.8919457,2003,€11.5M
52cdef7c4bab8bd675297e58,eBuddy,messaging,Web and mobile messaging,37.787683,-122.410943,2003,€11.5M
52cdef7c4bab8bd675297e58,eBuddy,messaging,Web and mobile messaging,51.500152,-0.126236,2003,€11.5M
52cdef7c4bab8bd675297e64,LongJump,enterprise,Cloud Application Platform,37.384651,-121.992132,1999,$0
52cdef7c4bab8bd675297e5a,Grockit,social,Online social learning games,37.775196,-122.419204,2006,$44.7M
52cdef7c4bab8bd675297e63,Phonezoo,web,,37.386376,-121.991471,2006,$2.06M
52cdef7c4bab8bd675297e61,Vuze,games_video,,37.4858654,-122.2262606,2005,$34M
52cdef7c4bab8bd675297e66,Wishpot,ecommerce,Social shopping service,47.620716,-122.347533,2006,$1.3M
52cdef7c4bab8bd675297e6a,Nononina,web,,37.269175,-119.306607,2007,$0
52cdef7c4bab8bd675297e6b,PodTech,games_video,,37.408256,-122.154176,2005,$7.5M
52cdef7c4bab8bd675297e6c,NowPublic,web,crowdsourcing news network,49.283376,-123.103986,2005,$12M
52cdef7c4bab8bd675297e70,Clipmarks,photo_video,,40.757929,-73.985506,2003,$0
52cdef7c4bab8bd675297e73,Boonex,software,General Info,-33.722577,150.981801,2000,$0
52cdef7c4bab8bd675297e68,DOmedia,advertising,Online Media Marketplace,39.967704,-83.005038,2007,$0
52cdef7c4bab8bd675297e6e,Crackle,games_video,,34.017506,-118.401579,2004,$1.75M
52cdef7c4bab8bd675297e6d,PayScale,software,Cloud Compensation Software,47.5999337,-122.3276962,1999,$31.1M
52cdef7c4bab8bd675297e75,IntenseDebate,web,Blog commenting system,40.010492,-105.276843,2006,$515k
52cdef7c4bab8bd675297e71,Forbes,web,,40.736416,-73.993302,2007,$0
52cdef7c4bab8bd675297e78,Rebtel,mobile,Talk More With Your Loved Ones,59.3167843,18.1582777,2006,$20M
52cdef7c4bab8bd675297e77,Reddit,web,Social news website,37.780883,-122.395257,2005,$100k
52cdef7c4bab8bd675297e7b,BuddyTV,games_video,Online TV guide and viewer community,47.61968,-122.356756,2005,$10.6M
52cdef7c4bab8bd675297e7d,Buxfer,web,,37.400465,-122.073003,2007,$315k
52cdef7c4bab8bd675297e7e,boo-box,advertising,"blogs, niche websites & social profiles",-23.558584,-46.679287,2007,$300k
52cdef7c4bab8bd675297e7c,Retrevo,web,Consumer Electronics Shopping Site,37.368594,-122.034021,2006,$11.9M
52cdef7c4bab8bd675297e85,TextPayMe,web,,47.672229,-122.115633,2005,$0
52cdef7c4bab8bd675297e88,BillMonk,web,,47.620716,-122.347533,2005,$0
52cdef7c4bab8bd675297e86,obopay,mobile,Mobile payment solutions,37.524729,-122.258037,2005,$145M
52cdef7c4bab8bd675297e8c,MeeMix,web,Personalizing your media offerings,32.0554,34.7595,2006,$0
52cdef7c4bab8bd675297e82,Hightail,network_hosting,securely share files & folders anywhere,37.288974,-121.935688,2004,$82.7M
52cdef7c4bab8bd675297e93,WallStrip,games_video,,37.09024,-95.712891,2006,$600k
52cdef7c4bab8bd675297e92,Rocketboom,news,,40.797364,-73.97785,2007,$1.5M
52cdef7c4bab8bd675297e97,Snapfish,network_hosting,Photo hosting and printing,37.78554,-122.396689,1999,$43.5M
52cdef7c4bab8bd675297e9a,Kaneva,web,,33.916374,-84.350663,2004,$0
52cdef7c4bab8bd675297e9b,IMVU,web,Online 3D Community,37.3927975,-122.0727749,2004,$29M
52cdef7c4bab8bd675297e9d,madKast,web,,40.010492,-105.276843,2007,$315k
52cdef7c4bab8bd675297ea0,Outdoorzy,network_hosting,,37.018244,-86.463026,2006,$0
52cdef7c4bab8bd675297ea7,Mokitown,web,,37.09024,-95.712891,2011,$0
52cdef7c4bab8bd675297ea1,Scrybe,enterprise,,40.270666,-74.761403,2007,$1.31M
52cdef7c4bab8bd675297e9f,Userplane,enterprise,Hosted Video Chat,34.01676,-118.495566,2001,$0
52cdef7c4bab8bd675297eaa,Neopets,web,,37.09024,-95.712891,1999,$0
52cdef7c4bab8bd675297ea9,Sulake,web,,60.165166,24.945937,2000,$0
52cdef7c4bab8bd675297ea2,Aniboom,games_video,Animation production,31.046051,34.851612,2006,$14.5M
52cdef7c4bab8bd675297ea4,Webkinz,web,,43.76969,-79.549577,2005,$0
52cdef7c4bab8bd675297eac,Viagogo,ecommerce,Uppriced online event ticket marketplace,51.500152,-0.126236,2005,$65M
52cdef7c4bab8bd675297eb1,GreatCall,mobile,Mobile Virtual Network Operator,32.964294,-117.265191,2005,$75.3M
52cdef7c4bab8bd675297eb0,Echo,enterprise,Real-time Web Platform,38.0729365,-122.1879633,2007,$4.8M
52cdef7c4bab8bd675297eb6,SelectMinds,network_hosting,,40.740251,-73.990004,2000,$5.5M
52cdef7c4bab8bd675297eb4,Pickle,web,,38.892371,-77.081732,2006,$0
52cdef7c4bab8bd675297eba,MindTouch,enterprise,,32.720656,-117.167831,2004,$0
52cdef7c4bab8bd675297ec0,Sportingo,web,Sports News and Entertainment,17.08881,-96.76492,2006,$3.2M
52cdef7c4bab8bd675297eb9,Metacafe,games_video,Online Video Entertainment,37.437328,-122.159928,2003,$50M
52cdef7c4bab8bd675297ebf,Kontera,advertising,In-Text Advertising,37.767575,-122.411157,2003,$36.1M
52cdef7c4bab8bd675297ebc,Flock,web,free social web browser,37.491356,-122.228843,2005,$28.3M
52cdef7c4bab8bd675297ec3,Splashup,web,,37.09024,-95.712891,2007,$10k
52cdef7c4bab8bd675297ec4,Curverider,network_hosting,Social networking technology,51.785428,-1.197534,2005,£300k
52cdef7c4bab8bd675297ecb,SomethingSimpler,search,,49.263588,-123.138565,2007,$0
52cdef7c4bab8bd675297ed3,Weebly,web,Easiest Way to Create a Website,37.795555,-122.400729,2006,$670k
52cdef7c4bab8bd675297ed7,Kongregate,games_video,Gaming social network,37.786942,-122.401245,2006,$19M
52cdef7c4bab8bd675297edb,Socialthing,network_hosting,,40.0186731,-105.2762236,2007,$415k
52cdef7c4bab8bd675297ede,Bountii,ecommerce,,37.437328,-122.159928,2007,$15k
52cdef7c4bab8bd675297edc,Filtrbox,web,social media monitoring & analytics,40.010492,-105.276843,2007,$1.92M
52cdef7c4bab8bd675297ed6,BitTorrent,web,Software and Internet Protocols,37.790998,-122.394668,2004,$40.8M
52cdef7c4bab8bd675297edf,Eventbee,web,Online event registration and ticketing,37.383779,-122.007172,2003,$0
52cdef7c4bab8bd675297ed2,Six Apart,enterprise,Blogging and CMS,35.6725213,139.7326754,2001,$22.6M
52cdef7c4bab8bd675297ee4,GoFish,games_video,entertainment and media company,37.09024,-95.712891,2003,$24M
52cdef7c4bab8bd675297ed9,Inneractive,advertising,,37.5646055,-122.3229235,2007,$8.5M
52cdef7c4bab8bd675297ee1,Cloudant,enterprise,NoSQL database managed service,42.35892,-71.05781,2008,$18.3M
52cdef7c4bab8bd675297eec,Fathom Online,advertising,Search Marketing,37.775196,-122.419204,2002,$6M
52cdef7c4bab8bd675297ee6,Kiva,finance,P2P Microfinance lending,37.762125,-122.4147,2005,$9M
52cdef7c4bab8bd675297ef0,SuicideGirls,web,,34.062262,-118.348198,2001,$0
52cdef7c4bab8bd675297eeb,Zopa,finance,P2P Lending,51.517904,-0.139947,2005,$33.9M
52cdef7c4bab8bd675297eef,Zivity,network_hosting,Adult photography and art,37.789488,-122.397593,2007,$8M
52cdef7c4bab8bd675297ef3,eXpresso,public_relations,Microsoft Excel Addon,37.451637,-122.121932,1999,$2M
52cdef7c4bab8bd675297ef4,Goowy,web,Flash based Web Desktop,32.71537,-117.163353,2004,$0
52cdef7c4bab8bd675297ef1,BlueLithium,advertising,,37.32052,-121.948399,2004,$11.5M
52cdef7c4bab8bd675297ef2,ContextWeb,analytics,Online advertising exchange market,40.71014,-74.010808,2000,$63.5M
52cdef7c4bab8bd675297ef6,InviteShare,public_relations,,37.450128,-122.205016,2007,$0
52cdef7c4bab8bd675297ef8,A9,web,,37.444554,-122.164511,2003,$0
52cdef7c4bab8bd675297ef9,Doostang,web,Exclusive Career Community ,37.427235,-122.145783,2005,$5.75M
52cdef7c4bab8bd675297efd,ZoomInfo,search,,42.38532,-71.207055,2000,$7M
52cdef7c4bab8bd675297f01,Vlingo,mobile,Voice enabled Virtual Assistant,42.372912,-71.118999,2006,$26.5M
52cdef7c4bab8bd675297f05,Mevio,games_video,Independent Video Entertainment Network,37.782263,-122.392142,2004,$48.9M
52cdef7c4bab8bd675297f07,Shock Treatment Management,web,,47.610332,-122.339859,2004,$4M
52cdef7c4bab8bd675297f09,Pluck,web,White-label Social Network,30.268735,-97.745209,2003,$17M
52cdef7c4bab8bd675297f0d,Kelkoo,ecommerce,Price Comparison Service,37.09024,-95.712891,1999,$3M
52cdef7c4bab8bd675297f08,NewsGator,enterprise,Social Business Software,39.755092,-104.988123,2004,$39.3M
52cdef7c4bab8bd675297efa,TechCrunch,news,Blog network,37.4459832,-122.1490582,2005,$0
52cdef7c4bab8bd675297f11,CinemaNow,web,,33.983543,-118.432526,1999,$11M
52cdef7c4bab8bd675297f0f,sezmi,games_video,Entertianment services company,37.524422,-122.265869,2007,$78.6M
52cdef7c4bab8bd675297f0f,sezmi,games_video,Entertianment services company,34.017373,-118.453218,2007,$78.6M
52cdef7c4bab8bd675297f0f,sezmi,games_video,Entertianment services company,26.207024,-80.157296,2007,$78.6M
52cdef7c4bab8bd675297f14,Heavy,web,,40.753385,-73.98962,1999,$33M
52cdef7c4bab8bd675297e9c,Techstars,finance,Seed fund + accelerator,40.010492,-105.276843,2006,$34M
52cdef7c4bab8bd675297ef5,MySpace,network_hosting,Social Network,34.076061,-118.372953,2003,$0
52cdef7c4bab8bd675297f13,Friendster,web,Social Networking Site,3.139003,101.686855,2001,$48.5M
52cdef7c4bab8bd675297f12,eHarmony,web,,34.145946,-118.132351,2000,$113M
52cdef7c4bab8bd675297f21,DAVE Networks,web,,33.979033,-118.423423,2003,$0
52cdef7c4bab8bd675297f21,DAVE Networks,web,,33.979506,-118.439787,2003,$0
52cdef7c4bab8bd675297f1a,Greystripe,advertising,Mobile advertising platform,37.710677,-122.39323,2005,$17.6M
52cdef7c4bab8bd675297f00,Docstoc,web,The Online Resource for Small Businesses,34.018275,-118.495025,2007,$4M
52cdef7c4bab8bd675297f23,Netblue,web,direct marketing programs,37.09024,-95.712891,2002,$0
52cdef7c4bab8bd675297f1b,Trulia,search,residential real estate search engine,37.766909,-122.406676,2004,$255M
52cdef7c4bab8bd675297f24,TubeMogul,advertising,Video Ad Buying Platform,37.836957,-122.286493,2006,$53.2M
52cdef7c4bab8bd675297f22,NexTag,web,,37.554595,-122.317471,1999,$0
52cdef7c4bab8bd675297f25,TechTarget,enterprise,Online Technology Media,37.09024,-95.712891,1999,$0
52cdef7c4bab8bd675297f35,LimeLife,news,Cross-platform digital media for women,37.48413,-122.169472,2004,$20.9M
52cdef7c4bab8bd675297f39,Espotting,advertising,Paid Search Network,37.09024,-95.712891,2000,$0
52cdef7c4bab8bd675297f3a,MIVA,advertising,pay-per-click ads,40.733276,-73.9932793,1999,$0
52cdef7c4bab8bd675297f3e,airG,search,Mobile Social Entertainment,3.046111,-75.066111,2000,$0
52cdef7c4bab8bd675297f3f,YouBeQB,games_video,,47.597965,-122.151158,2008,$0
