name,address,long,lat
International High School of San Francisco,"150 Oak St, San Francisco, CA 94102, United States",-122.4216371,37.7753816
The San Francisco School,"300 Gaven St, San Francisco, CA 94134, United States",-122.4113534,37.7327817
The Bay School of San Francisco,"35 Keyes Ave, San Francisco, CA 94129, United States",-122.455646,37.8007795
Urban School of San Francisco,"1563 Page St, San Francisco, CA 94117, United States",-122.4460845,37.7709383
Sunset Elementary School,"1920 41st Ave, San Francisco, CA 94116, United States",-122.4995634,37.7508971
Ulloa Elementary School,"2650 42nd Ave, San Francisco, CA 94116, United States",-122.4997017,37.73718059999999
Robert Louis Stevenson Elementary School,"2051 34th Ave, San Francisco, CA 94116, United States",-122.4928488,37.7487104
June Jordan School for Equity,"325 La Grande Ave, San Francisco, CA 94112, United States",-122.4248772,37.7193732
Claire Lilienthal Elementary School - Scott Campus,"3630 Divisadero St, San Francisco, CA 94118, United States",-122.4434063,37.80338640000001
San Francisco University High School,"3065 Jackson St, San Francisco, CA 94115, United States",-122.4454646,37.7908898
The Brandeis School of San Francisco,"655 Brotherhood Way, San Francisco, CA 94132, United States",-122.4758295,37.7134077
Lawton Alternative School,"1570 31st Ave, San Francisco, CA 94122, United States",-122.4892675,37.7576672
Lycee Francais de San Francisco - LFSF - Ortega Campus,"1201 Ortega St, San Francisco, CA 94122, United States",-122.4764738,37.7519388
Alamo Elementary School,"250 23rd Ave, San Francisco, CA 94121, United States",-122.4825251,37.7830586
Grattan Elementary School,"165 Grattan St, San Francisco, CA 94117, United States",-122.4505091,37.7637948
San Francisco Community Alternative School,"125 Excelsior Ave, San Francisco, CA 94112, United States",-122.4321939,37.726005
McKinley Elementary School,"1025 14th St, San Francisco, CA 94114, United States",-122.4364032,37.7671582
Presidio Middle School,"450 30th Ave, San Francisco, CA 94121, United States",-122.4899008,37.7810048
Ida B Wells High School,"1099 Hayes St, San Francisco, CA 94117, United States",-122.4340281,37.7750892
George Peabody Elementary School,"251 6th Ave, San Francisco, CA 94118, United States",-122.4651034,37.7838537
