name,address,long,lat
Leman Manhattan Preparatory School,"41 Broad St, New York, NY 10004, United States",-74.011207,40.7057417
Columbia Grammar & Preparatory School,"5 W 93rd St, New York, NY 10025, United States",-73.9668174,40.790214
Manhattan Bridges High School,"525 W 50th St, New York, NY 10019, United States",-73.99273749999999,40.7652446
Marymount School of New York,"1026 5th Ave, New York, NY 10028, United States",-73.96136820000001,40.7799655
Eleanor Roosevelt High School,"411 E 76th St, New York, NY 10021, United States",-73.953267,40.770282
Millennium High School,"75 Broad St, New York, NY 10004, United States",-74.01123040000002,40.7046866
The Calhoun School,"433 West End Ave, New York, NY 10024, United States",-73.98055,40.785621
Manhattan International High School,"317 E 67th St, New York, NY 10065, United States",-73.9598154,40.7657337
The Browning School,"52 E 62nd St, New York, NY 10065, United States",-73.9692663,40.765039
Nightingale Bamford School,"20 E 92nd St, New York, NY 10128, United States",-73.9567637,40.784847
Loyola School,"980 Park Ave, New York, NY 10028, United States",-73.95889729999999,40.7784737
Manhattan High School,"154 E 70th St, New York, NY 10021, United States",-73.962873,40.768727
Trevor Day School - Upper School,"312 E 95th St, New York, NY 10128, United States",-73.9467308,40.7829807
Dominican Academy,"44 E 68th St, New York, NY 10065, United States",-73.966524,40.76871
Lycée Français De New York,"505 E 75th St, New York, NY 10021, United States",-73.9513436,40.7690971
Manhattan Center For Science and Mathematics,"280 Pleasant Ave, New York, NY 10029, United States",-73.93297629999999,40.7943534
NEST+m,"111 Columbia St, New York, NY 10002, United States",-73.9792392,40.7195002
Friends Seminary,"222 E 16th St, New York, NY 10003, United States",-73.9850692,40.7340188
Manhattan Comprehensive Night and Day High School,"240 2nd Ave, New York, NY 10003, United States",-73.9843188,40.7326748
Columbia Secondary School,"425 W 123rd St, New York, NY 10027, United States",-73.95606099999999,40.810687
