name,long,lat,dis to an airport,range,airports 40km,airports 10km,schools 5km,schools 2km,veggies 500m,veggies 100m,party 1km,party 500m,starbucks 500m,starbucks 100m,final
Social Gaming Network,-122.161523,37.446823,22.57303678518392,20-50km,3,0,49,13,14,0,32,30,1,1,81.68045977011492
Udorse,-73.986951,40.756054,9.913364255749912,0-10km,3,1,93,22,3,0,26,9,12,0,71.83333333333334
Simulmedia,-73.99479699999998,40.727216,11.69810864461715,10-20km,3,0,84,35,2,0,26,8,5,1,71.1022988505747
Sofa Labs,-122.32292350000002,37.5646055,7.591815431959088,0-10km,2,1,42,21,22,6,26,25,1,0,71.02643678160919
Fixya,-122.323895,37.566879,7.339121613946017,0-10km,2,1,40,21,22,6,26,25,1,0,70.42643678160918
Skydeck,-122.3254705,37.5645375,7.464461688521391,0-10km,2,1,41,19,20,1,26,25,1,0,70.04597701149424
PeekYou,-73.985506,40.757929,9.747111732704935,0-10km,3,1,88,17,3,0,26,9,9,1,68.60344827586206
Layar,4.8928722,52.3657578,10.825336262225543,10-20km,1,0,50,23,3,0,29,15,2,0,66.39425287356322
Vaultive,-74.011114,40.707954,13.395342783762205,10-20km,3,0,74,21,10,0,22,13,13,2,66.0287356321839
Catchafire,-73.983171,40.746417,9.921920672410957,0-10km,3,1,101,26,9,1,16,7,6,0,62.82413793103448
Yipit,-73.987764,40.744618,10.354281660498,10-20km,3,0,98,27,8,0,17,6,9,1,62.43103448275862
Heyzap,-122.4041485,37.79055379999999,17.848021231677613,10-20km,2,0,64,22,11,1,26,8,13,0,61.89195402298851
Carrier Mobile,-83.7422325,42.2802707,32.883757663687895,20-50km,1,0,25,9,11,1,37,12,1,0,59.682758620689654
1calendar,12.5751278,55.6770321,8.305496827887207,0-10km,1,1,46,16,5,1,28,12,4,0,59.58850574712643
Cognitive Match,-73.98222109999998,40.7454098,9.88642039720731,0-10km,3,1,104,25,11,0,15,4,7,0,59.55057471264367
Chartbeat,-73.990967,40.73343,11.094848471247596,10-20km,3,0,87,30,4,0,18,5,5,0,59.4103448275862
GameChanger Media,-74.0136605,40.7078343,13.180757171751885,10-20km,3,0,70,22,4,0,20,9,8,0,58.255172413793105
Chicisimo,-2.9308322,43.264499,248.1447043388209,100-300km,0,0,24,18,7,0,31,14,1,0,57.79540229885057
ChallengePost,-74.00717,40.7408042,12.035367163396327,10-20km,3,0,77,25,4,0,15,11,3,0,57.68045977011494
Tinychat,-72.5196907,42.3756409,50.39895076203278,50-100km,0,0,26,19,19,8,23,19,1,0,55.92528735632184
MyLikes,-122.408914,37.777995,17.68352013247883,10-20km,2,0,67,26,3,0,19,6,0,0,53.39425287356322
Althea Systems,77.61368470000002,12.9349604,30.9106748985639,20-50km,1,0,36,13,8,2,20,15,1,1,50.27471264367816
BitMethod,-93.621998,41.581232,6.2673216047457805,0-10km,1,1,24,8,4,1,25,14,1,0,49.232183908045975
Kidos,-73.957854,40.714056,10.044035378929088,10-20km,3,0,69,13,10,0,19,4,1,0,48.51954022988506
Kidos,-73.957854,40.714056,10.044035378929088,10-20km,3,0,69,13,10,0,19,4,1,0,48.51954022988506
isocket,-122.321836,37.55909000000001,8.143755427660746,0-10km,2,1,42,18,1,0,28,1,1,0,47.81609195402299
Meez,-122.397582,37.785271,17.076595292488573,10-20km,2,0,62,16,3,0,17,6,4,0,47.35402298850575
HyperWeek,6.1503245,46.2121463,4.296254712052453,0-10km,1,1,32,17,5,1,21,10,0,0,46.228735632183906
Tiny Speck,-123.109217,49.28245510000001,11.244331310277037,10-20km,1,0,27,15,7,1,21,11,6,0,45.61149425287356
Solix Biofuels,-105.0766501,40.5932386,88.26708746413351,50-100km,0,0,24,7,2,0,32,3,1,0,44.43793103448276
oneforty,-71.101375,42.36401400000001,7.901485429137398,0-10km,1,1,55,18,13,6,11,10,1,0,43.69310344827586
Shareaholic,-71.10325909999997,42.3647559,8.056330292899384,0-10km,1,1,54,19,12,2,11,10,1,0,43.635632183908044
DP7 Digital,-48.5483418,-27.5995476,7.875602059809876,0-10km,1,1,21,11,4,0,22,8,0,0,40.10574712643678
UsingMiles,-104.9998449,39.749671,30.572960328212208,20-50km,1,0,22,6,6,0,18,11,7,1,38.6183908045977
UsingMiles,-104.9998449,39.749671,30.572960328212208,20-50km,1,0,22,6,6,0,18,11,7,1,38.6183908045977
Fliptop,-122.419209,37.775206,17.799590292704845,10-20km,2,0,69,30,4,0,8,0,1,0,38.32068965517241
vufind,-122.145153,37.424614,20.30240651392696,20-50km,3,0,54,16,15,1,10,6,2,0,38.10344827586207
vufind,-122.145153,37.424614,20.30240651392696,20-50km,3,0,54,16,15,1,10,6,2,0,38.10344827586207
StudyBlue,-89.39256,43.068006,9.159085415170493,0-10km,1,1,25,8,0,0,25,2,0,0,37.35977011494253
Z2Live,-122.33997820000002,47.6103008,9.3726998981346,0-10km,2,1,25,9,5,0,16,8,12,0,36.326436781609196
Widgetbox,-122.398599,37.798853,17.835823435162023,10-20km,2,0,54,12,0,0,12,3,4,0,35.719540229885055
Kidos,-73.956599,40.768058,7.14638143081708,0-10km,3,1,69,26,4,0,4,1,3,0,34.810344827586206
Kidos,-73.956599,40.768058,7.14638143081708,0-10km,3,1,69,26,4,0,4,1,3,0,34.810344827586206
Jolicloud,2.3509871,48.8566667,14.97186819007804,10-20km,2,0,29,12,1,0,17,4,3,0,34.116091954022984
Ykone,2.3509871,48.8566667,14.97186819007804,10-20km,2,0,29,12,1,0,17,4,3,0,34.116091954022984
Getyoo,4.3464721,50.83997,11.848725764672515,10-20km,1,0,26,8,5,0,19,4,0,0,33.48735632183908
Gravity,-118.489681,34.007967,10.474981507490238,10-20km,1,0,39,18,3,0,12,3,1,0,32.47931034482759
Social Gaming Network,-118.4054182,34.0698494,14.162502968047015,10-20km,1,0,27,5,8,0,17,5,1,0,32.0367816091954
Talari Networks,-121.949417,37.317735,5.305015920555478,0-10km,1,1,39,13,9,0,8,7,1,0,31.278160919540227
RazorGator,-118.445243,34.047312,12.149766506955654,10-20km,1,0,45,16,3,0,11,1,1,1,30.79425287356322
Tongal,-118.489748,34.007112,10.413635719230797,10-20km,1,0,38,15,3,0,11,3,1,0,30.279310344827586
Cognitive Match,-0.0936688,51.5119418,25.90796058367751,20-50km,1,0,26,8,3,0,15,4,6,0,30.154022988505748
Titan Gaming,-113.515769,53.544711,26.47632903137001,20-50km,1,0,20,4,7,0,18,4,4,0,29.97011494252874
Burt,18.036587,59.337864,35.548764807282645,20-50km,1,0,28,16,5,1,11,5,0,0,29.49885057471264
Burt,18.036587,59.337864,35.548764807282645,20-50km,1,0,28,16,5,1,11,5,0,0,29.49885057471264
Cognitive Match,-122.1156934,37.380653,16.619418365622927,10-20km,3,0,49,12,10,1,5,5,2,0,29.345977011494252
Formspring,-86.0547016,39.9052263,29.254974204750656,20-50km,1,0,17,6,7,0,13,9,1,0,29.325287356321837
Magento,-118.243425,34.052187,19.466144944223537,10-20km,1,0,26,11,3,0,12,4,2,0,27.594252873563217
