name,long,lat,dis to an airport,range,airports 40km,airports 10km,schools 5km,schools 2km,veggies 500m,veggies 100m,party 1km,party 500m,starbucks 500m,starbucks 100m
PeekYou,-73.985506,40.757929,9.747111732704935,0-10km,3,1,88,17,3,0,26,9,9,1
GENWI,-111.9035,33.8171,43.73495639903287,20-50km,0,0,5,2,0,0,0,0,0,0
Fixya,-122.323895,37.566879,7.339121613946017,0-10km,2,1,40,21,22,6,26,25,1,0
Widgetbox,-122.398599,37.798853,17.835823435162023,10-20km,2,0,54,12,0,0,12,3,4,0
RazorGator,-118.44524299999999,34.047312,12.149766506955654,10-20km,1,0,45,16,3,0,11,1,1,1
Social Gaming Network,-122.161523,37.446822999999995,22.57303678518392,20-50km,3,0,49,13,14,0,32,30,1,1
Social Gaming Network,-118.4054182,34.0698494,14.162502968047015,10-20km,1,0,27,5,8,0,17,5,1,0
Skydeck,-122.32547050000001,37.5645375,7.464461688521391,0-10km,2,1,41,19,20,1,26,25,1,0
Handipoints,-122.214897,37.772323,5.699055910594206,0-10km,2,1,25,10,2,1,3,3,0,0
Magento,-118.243425,34.052186999999996,19.466144944223537,10-20km,1,0,26,11,3,0,12,4,2,0
Pixsta,-0.208979,51.518190000000004,18.294371379903385,10-20km,1,0,27,6,8,0,10,6,1,0
FirstString,-118.243425,34.052186999999996,19.466144944223537,10-20km,1,0,26,11,3,0,12,4,2,0
BrandYourself,-71.24762,42.275263,22.254417315731697,20-50km,1,0,20,6,0,0,1,0,0,0
Titan Gaming,-113.51576899999999,53.544711,26.47632903137001,20-50km,1,0,20,4,7,0,18,4,4,0
CompareAway,-1.574948,54.70314499999999,37.921160703675724,20-50km,1,0,17,4,3,0,3,2,0,0
vufind,-122.14515300000001,37.424614,20.30240651392696,20-50km,3,0,54,16,15,1,10,6,2,0
travelmob,-157.78907,21.303048999999998,14.13683612668189,10-20km,1,0,20,1,1,0,0,0,0,0
UsingMiles,-104.9998449,39.749671,30.572960328212208,20-50km,1,0,22,6,6,0,18,11,7,1
Burt,18.036587,59.337864,35.548764807282645,20-50km,1,0,28,16,5,1,11,5,0,0
Inuvo,-82.702449,27.913010999999997,18.018702180369488,10-20km,2,0,19,8,0,0,0,0,0,0
Kidos,-73.957854,40.714056,10.044035378929088,10-20km,3,0,69,13,10,0,19,4,1,0
Kidos,-73.956599,40.768058,7.14638143081708,0-10km,3,1,69,26,4,0,4,1,3,0
vufind,-122.14515300000001,37.424614,20.30240651392696,20-50km,3,0,54,16,15,1,10,6,2,0
travelmob,-157.78907,21.303048999999998,14.13683612668189,10-20km,1,0,20,1,1,0,0,0,0,0
UsingMiles,-104.9998449,39.749671,30.572960328212208,20-50km,1,0,22,6,6,0,18,11,7,1
Burt,18.036587,59.337864,35.548764807282645,20-50km,1,0,28,16,5,1,11,5,0,0
Inuvo,-82.702449,27.913010999999997,18.018702180369488,10-20km,2,0,19,8,0,0,0,0,0,0
Kidos,-73.956599,40.768058,7.14638143081708,0-10km,3,1,69,26,4,0,4,1,3,0
Kidos,-73.957854,40.714056,10.044035378929088,10-20km,3,0,69,13,10,0,19,4,1,0
Formspring,-86.0547016,39.905226299999995,29.254974204750656,20-50km,1,0,17,6,7,0,13,9,1,0
isocket,-122.321836,37.55909000000001,8.143755427660746,0-10km,2,1,42,18,1,0,28,1,1,0
Yipit,-73.987764,40.744618,10.354281660498,10-20km,3,0,98,27,8,0,17,6,9,1
StudyBlue,-89.39256,43.068006,9.159085415170493,0-10km,1,1,25,8,0,0,25,2,0,0
HyperWeek,6.1503245,46.2121463,4.296254712052453,0-10km,1,1,32,17,5,1,21,10,0,0
Queralt,-72.81901059999998,41.4778641,52.489957200340434,50-100km,0,0,21,9,0,0,8,2,0,0
Jolicloud,2.3509870999999998,48.8566667,14.97186819007804,10-20km,2,0,29,12,1,0,17,4,3,0
