name,address,long,lat
San Francisco Waldorf Grade School,"2938 Washington St, San Francisco, CA 94115, United States",-122.441929,37.790803
Parkside Preschool & Kindergarten,"2425 19th Ave, San Francisco, CA 94116, United States",-122.4762376,37.7426419
The San Francisco School,"300 Gaven St, San Francisco, CA 94134, United States",-122.4113534,37.7327817
E R Taylor Pre Kindergarten,"423 Burrows St, San Francisco, CA 94134, United States",-122.4075501,37.7277831
Argonne Pre K,"750 16th Ave, San Francisco, CA 94123, United States",-122.4744661,37.7739101
Phoebe Hearst Preschool,"1315 Ellis St, San Francisco, CA 94115, United States",-122.4279366,37.7827475
Tenderlion Pre-K School,"627 Turk St, San Francisco, CA 94102, United States",-122.4198584,37.7818705
German International School of Silicon Valley,"4 Funston Ave, San Francisco, CA 94129, United States",-122.4555237,37.8000172
Frank Mc Coppin Elementary,"651 6th Ave, San Francisco, CA 94118, United States",-122.4643203,37.7761741
Tule Elk Park Child Development Center,"1950 Chestnut St, San Francisco, CA 94123, United States",-122.4352758,37.8024217
Paul Revere Elementary School,"555 Tompkins Ave, San Francisco, CA 94110, United States",-122.4131337,37.7373148
Noriega Early Education School,"1775 44th Ave, San Francisco, CA 94122, United States",-122.5036734,37.7535946
Redding Preschool,"1421 Pine St, San Francisco, CA 94109, United States",-122.4191963,37.7896484
Mission Nursery Children's Center,"2950 Mission St, San Francisco, CA 94110, United States",-122.4185001,37.7499109
Stratford School - San Francisco,"301 De Montfort Ave, San Francisco, CA 94112, United States",-122.4614941,37.72354989999999
Presidio Knolls School,"250 10th St, San Francisco, CA 94103, United States",-122.4135607,37.7730042
Argonne Elementary School,"680 18th Ave, San Francisco, CA 94121, United States",-122.4766444,37.7753075
New Traditions Elementary School,"2049 Grove St, San Francisco, CA 94117, United States",-122.4503932,37.7743138
San Francisco Public Montessori,"2340 Jackson St, San Francisco, CA 94115, United States",-122.4335145,37.7928842
Redding Elementary School,"1421 Pine St, San Francisco, CA 94109, United States",-122.4191963,37.7896484
