name,long,lat
Dwight School Preschool & Kindergarten,-73.98882189999999,40.7768249
Lincoln School,-74.0194545,40.7949136
Rodeph Sholom School:Pre-Kindergarten,-73.97116849999999,40.7841385
Maryknoll Kindergarten,-73.9958123,40.7147169
Lexington Childrens' Center,-73.9508974,40.7880607
Western Queens Nursery School,-73.9465251,40.754057
St Ignatius Day Nursery,-73.95339299999999,40.7766019
The Kaplan Cooperative Preschool,-74.0331839,40.7384554
Elements Preschool Kindergarten New York,-73.9863111,40.7187561
Harmony Early Learning Center..,-74.0412683,40.7880898
Cathedral Parkway Tower Preschool,-73.9628267,40.8019255
San Jose Day Nursery Inc,-74.00437099999999,40.7451148
Queensview Nursery School,-73.931724,40.7629678
Escalera Head Start,-73.973511,40.788186
Preschool of the Arts @ Chelsea,-73.9956527,40.7410098
Kiddie Academy of Hoboken,-74.027726,40.7376559
Apple Montessori Schools & Camps - Hoboken,-74.0246502,40.7492005
Grace Church School - JK-8 Campus,-73.9905606,40.7318259
Morningside Montessori School,-73.9708053,40.7977685
Yung Wing Elementary School,-73.9957561,40.7143209
Black Mountain Elementary School,-111.953875,33.790576
Quality Interactive Montessori,-111.951652,33.834115
Turnbull Children's Center,-122.326895,37.5771015
Montessori Children's House,-122.3366915,37.553709
Child care,-122.3396291,37.5765181
Foster City Elementary School,-122.2735413,37.5461173
Sea Breeze School,-122.2724867,37.5452415
McKinley Elementary School,-122.3567963,37.5797186
Sunnybrae Elementary School,-122.3130547,37.5617043
Beresford Montessori,-122.311428,37.553388
Building Kidz of San Mateo,-122.2914344,37.5339022
North Shoreview Montessori,-122.3162435,37.5753737
Fiesta Gardens International School,-122.2983496,37.5516995
Meadow Heights Elementary School,-122.3160664,37.5391113
Foster City Preschool and Daycare Center,-122.2969009,37.5611488
LEAD Elementary School,-122.3016472,37.5693268
San Mateo-Foster City School District,-122.2736234,37.5660877
Our Lady of Angel Pre School,-122.3720035,37.5851751
Foster City KinderCare,-122.2721339,37.5606494
St. Matthew's Episcopal Day School,-122.3270935,37.56566840000001
Parkside Elementary School,-122.2966973,37.5614131
Kids Connection Schools,-122.2652769,37.569607
San Francisco Waldorf Grade School,-122.441929,37.790803
Phoebe Hearst Preschool,-122.4279366,37.7827475
CAIS Pre-Kindergarten Campus,-122.4244372,37.7721549
Tule Elk Park Child Development Center,-122.4352758,37.8024217
Theresa Mahler Childrens Center,-122.4280684,37.7555409
Cross Cultural Family Center,-122.4351752,37.78108
German International School of Silicon Valley,-122.4555237,37.8000172
Saints Peter and Paul School,-122.4104421,37.8014831
New Traditions Elementary School,-122.4503932,37.7743138
24th Street Head Start,-122.412172,37.7524738
One Fifty Parker Ave School,-122.4541105,37.7828264
Redding Elementary School,-122.4191963,37.7896484
Tule Elk Park Child Development Center,-122.4351317,37.801006
Adda Clevenger School,-122.4242889,37.7536992
Presidio Hill School,-122.4561455,37.7885703
"Commodore Stockton, Early Education School",-122.4090968,37.7950577
Presidio Knolls School,-122.4135607,37.7730042
Children's Day School,-122.4252873,37.7641444
Gordon J. Lau Elementary School,-122.408882,37.794337
Chinese Immersion School at DeAvila Elementary School,-122.4443077,37.7695933
Beverly Hills Presbyterian Preschool and Kindergarten,-118.4054552,34.0711043
Mel-O-Dee Montessori,-118.4064435,34.0232807
Kigala Preschool,-118.4613571,34.0239922
Montessori Discovery Garden,-118.4293281,34.05675300000001
Circle-Children Kindergarten,-118.4700414,34.0120511
Farragut Elementary School,-118.399956,34.00747090000001
10th Street Preschool,-118.4886625,34.019924
UCLA Westwood Child Care Center,-118.4439421,34.062651
"Brentwood School, West Campus",-118.4756298,34.0612035
Le Lycee Francais De Los Angeles: Century City Campus,-118.4160617,34.0472142
Beethoven Street Elementary School,-118.4432805,34.0020457
Palms Elementary School,-118.40773,34.0261274
Academic Achievers,-118.4739024,34.0307009
New Horizon School,-118.44603,34.043242
Sinai Akiba Academy,-118.428734,34.065989
Cassidy Preschool,-118.4813315,34.0324479
Castle Heights Elementary School,-118.398241,34.038347
CCUSD Office of Child Development,-118.3990547,34.008107
Tivoli Rainbow Garden Preschool,-118.4517745,34.0230619
Westside Waldorf School,-118.4835865,34.0242226
Trinity Early Childhood Program,-122.1792391,37.4563544
New Beginnings Preschool,-122.1834788,37.4434061
Palo Verde Elementary School,-122.1144096,37.4309694
Challenger School - Middlefield,-122.110702,37.420173
Casa dei Bambini School,-122.1467268,37.4267486
Addison Elementary School,-122.150499,37.44589850000001
Bing Nursery School,-122.1563643,37.4221248
Building Kidz of Menlo Park,-122.159756,37.461043
Duveneck Elementary School,-122.1344772,37.4500667
International School of the Peninsula - Cowper Campus,-122.123566,37.426544
Montessori School of Los Altos,-122.1123189,37.4148504
Stratford School - Palo Alto,-122.1318404,37.440946
Taft Elementary School,-122.1937167,37.4809908
Playschool,-122.1906614,37.4633007
Encinal Elementary School,-122.1861609,37.4648602
Woodland School,-122.19691,37.402995
Sunshine,-122.1109249,37.4259884
Children's Pre-School Center,-122.1080044,37.4180039
Costano Elementary School,-122.1373627,37.478295
Willow Oaks School,-122.157303,37.4621
Beverly Hills Presbyterian Preschool and Kindergarten,-118.4054552,34.0711043
Montessori Discovery Garden,-118.4293281,34.05675300000001
Laurel Early Education Center,-118.3643656,34.0874669
Futuro College Preparatory,-118.3826142,34.0366743
Rosewood Avenue Elementary,-118.3752535,34.0803655
Page Academy Private School,-118.3837681,34.0587961
Mel-O-Dee Montessori,-118.4064435,34.0232807
Kigala Preschool,-118.4613571,34.0239922
West Hollywood Children's Academy,-118.3520161,34.0895013
Gardner Little School,-118.35248,34.093273
Le Lycee Francais De Los Angeles: Century City Campus,-118.4160617,34.0472142
UCLA Westwood Child Care Center,-118.4439421,34.062651
Turning Point School,-118.3848336,34.0271201
The Center for Early Education,-118.3755001,34.0817634
Palms Elementary School,-118.40773,34.0261274
New Horizon School,-118.44603,34.043242
Sinai Akiba Academy,-118.428734,34.065989
Play Mountain Place,-118.3761292,34.0323792
Castle Heights Elementary School,-118.398241,34.038347
Taylor Tot Playhouse Preschool,-118.3521074,34.0491255
Turnbull Children's Center,-122.326895,37.5771015
Montessori Children's House,-122.3366915,37.553709
Child care,-122.3396291,37.5765181
Foster City Elementary School,-122.2735413,37.5461173
Sea Breeze School,-122.2724867,37.5452415
McKinley Elementary School,-122.3567963,37.5797186
Sunnybrae Elementary School,-122.3130547,37.5617043
Beresford Montessori,-122.311428,37.553388
Building Kidz of San Mateo,-122.2914344,37.5339022
North Shoreview Montessori,-122.3162435,37.5753737
Fiesta Gardens International School,-122.2983496,37.5516995
Meadow Heights Elementary School,-122.3160664,37.5391113
Foster City Preschool and Daycare Center,-122.2969009,37.5611488
LEAD Elementary School,-122.3016472,37.5693268
San Mateo-Foster City School District,-122.2736234,37.5660877
Our Lady of Angel Pre School,-122.3720035,37.5851751
Foster City KinderCare,-122.2721339,37.5606494
St. Matthew's Episcopal Day School,-122.3270935,37.56566840000001
Parkside Elementary School,-122.2966973,37.5614131
Highlands Elementary School,-122.350545,37.524102
Central Christian School,-122.2483283,37.76706
St Bernard's School,-122.1961609,37.7645668
Centro Infantil Early Childhood,-122.2299609,37.7826579
Edison Elementary School,-122.2350305,37.76436
Mills College: Children's School,-122.1842068,37.7773167
Love Elementary School,-122.2508553,37.76950780000001
Grand Lake Montessori,-122.2508765,37.8159676
Bay Farm School,-122.2519223,37.7441211
Rising Star Montessori School,-122.2316361,37.7587064
Global Family Elementary School,-122.2132294,37.7794934
First Covenant Treehouse Preschool,-122.183122,37.7991483
Little Stars Pre-School,-122.2646707,37.8016371
Think College Now,-122.230619,37.7793766
Laurel Elementary School,-122.196211,37.792805
Brookfield Elementary School,-122.1892999,37.7349299
Earhart Elementary School,-122.238127,37.7446696
The Child Unique Montessori School,-122.2470988,37.7637911
Franklin Elementary School,-122.2606964,37.7688016
The Lake School,-122.251158,37.801406
Coastline Christian Schools,-122.2392431,37.7272181
Lafayette Park Primary Center,-118.2805299,34.066541
Citizens-The World Silver Lake,-118.2753075,34.0889362
Dacotah Early Education Center,-118.2097964,34.0219299
Evergreen Early Education Center,-118.1968894,34.050849
Plaza De La Raza Head Start,-118.2145924,34.0705165
Clifford Street Elementary,-118.2581587,34.0893198
Plaza De La Raza Head Start,-118.2073173,34.0311905
Ramona Head Start,-118.1948411,34.0573132
Olympic Primary Center,-118.2709079,34.0479558
Rosemont Avenue Elementary School,-118.269908,34.072346
MacArthur Park Visual and Performing Arts Elementary,-118.2795216,34.0572476
St. Vincent School,-118.2752056,34.0294881
Norwood Street Elementary School,-118.2782008,34.0352588
Ann Street Elementary School,-118.2301168,34.0643969
Union Avenue Elementary School,-118.266572,34.064311
Star Christian School and Child Care Center,-118.276009,34.032509
Precious Blood School,-118.2828038,34.0674975
Los Angeles Universal Pre School,-118.2616772,34.0466363
Albion Elementary School,-118.2204668,34.0690885
First Street Elementary School,-118.2045974,34.0403723
The Kensington Kindergarten,-0.1906825,51.5000505
The Knightsbridge Kindergarten,-0.1488055,51.4979202
Thomas' Kindergarten,-0.1738123,51.4774073
Ringrose Kindergarten,-0.1684291,51.4896466
The Park Kindergarten SW11,-0.1573354,51.4740438
Young England Kindergarten,-0.1352115,51.4883184
The Kensington Kindergarten,-0.1906447,51.50005489999999
Ringrose Kindergarten,-0.1371347,51.4885026
Malylebone Kindergarten,-0.1612548,51.5196187
