name,long,lat
Lavo Nightclub,-73.97143009999999,40.7629192
Retroclubnyc,-73.98880079999999,40.7582948
Le Bain,-74.0079698,40.7408249
Doha Nightclub NYC,-73.933011,40.753056
TAO Downtown Nightclub,-74.00410769999999,40.7422842
Rumpus Room,-73.9897503,40.72292789999999
Elevate Nightclub,-73.9964672,40.7597954
Marquee New York,-74.0028169,40.7500242
1 OAK,-74.0062324,40.7439224
Vandal Nightclub,-73.9934553,40.7212007
Avenue,-74.0064306,40.744093
The Copacabana Times Square,-73.9872589,40.760166
The Pyramid Club,-73.9839495,40.7258183
The Monster,-74.0021091,40.7334189
Good Room,-73.95291209999999,40.7269376
Hudson Terrace,-73.9976374,40.76401389999999
Mango Nightclub Times Square,-73.98717649999999,40.7600569
Groove,-74.0002232,40.7305855
Vodka Soda Bottoms Up,-73.988631,40.76033
Mission NYC,-73.99474219999999,40.7480006
The Clubhouse Bistro,-122.2769085,37.5622822
Roberto Lee Shipping,-122.3139879,37.55031
Vinyl Room,-122.3461701,37.5775
Flights 101 Club Lounge,-122.3706105,37.6025048
Nick Foster Entertainment,-122.3651314,37.5903496
Antone's Cocktail Lounge,-122.295215,37.534305
Caribbean Gardens,-122.3627357,37.5937835
Grape & Grain,-122.3243753,37.5648376
Sky Lounge,-122.3245351,37.5638714
The Swingin' Door,-122.3045991,37.545086
O'Neills Irish Pub,-122.3243616,37.5671561
Attic,-122.3230205,37.5659027
Porterhouse,-122.3247931,37.5637114
B Street Station,-122.3229764,37.5658343
Club Shoreview,-122.3099127,37.5708389
Mc Govern's Bar,-122.3220992,37.5645241
31st Union,-122.3248422,37.5670756
San Mateo Prime,-122.323215,37.564574
Bucky's Cocktail Lounge,-122.3129576,37.5538764
Bay Area DJ,-122.3705956,37.59973799999999
Temple Nightclub San Francisco,-122.3972472,37.787956
The Grand,-122.3979003,37.7790996
HUE,-122.4047847,37.797948
Origin,-122.4325529,37.7838841
F8,-122.4099614,37.775291
1015 Folsom,-122.405787,37.7781268
Audio Nightclub,-122.413792,37.771362
Harlot,-122.3981969,37.7885694
Monarch,-122.4084623,37.7809871
OASIS,-122.4144509,37.771972
Arena SF,-122.4183886,37.7561296
The Holy Cow,-122.4143099,37.7713746
Rouge Night Club,-122.4220047,37.7961298
Halcyon SF,-122.4139198,37.771465
City Nights,-122.3976355,37.7820604
The EndUp,-122.403745,37.77731199999999
Calle-11sf Nightclub,-122.414007,37.7715869
Monroe,-122.4049508,37.797965
Bruno's,-122.4188632,37.7589627
Crash Nightclub,-122.4090592,37.7839519
West End,-118.4956006,34.0185186
Bootsy Bellows,-118.3928048,34.0904502
Senator Jones,-118.4823997,34.0316751
Westwood Nightclub (Inside Byblos),-118.4344278,34.0473787
Carbon,-118.3941224,34.0257228
New York Fantasy Party LLC,-118.4185701,34.0604116
"Belly Dance , Oncy",-118.434445,34.0474398
Law Offices of Brian Paya,-118.4450372,34.0580457
Night club rescue,-118.4109876,34.0662433
Bahía de Santa Mónica,-118.4931005,34.0081115
Nightlife Empire,-118.4109997,34.0662553
Logan’s apartment,-118.432892,34.055003
Amber & Tom’s place,-118.3992178,34.0159618
4Play The Gentlemen's Club,-118.4383264,34.0383786
still i rise from cancer,-118.4147379,34.0609111
House of Cardiff,-118.398078,34.0302883
Harvelle's,-118.4946055,34.01556619999999
Plan B,-118.444988,34.032393
41 Ocean,-118.495064,34.011941
Blind Dragon,-118.3929741,34.0907673
Slavianskii Dom,-122.1653139,37.4185512
Bar in Zell am See,-122.1520042,37.416033
The Guild Theatre,-122.1812125,37.4524406
Menlo Park,-122.1840451,37.4502027
The Patio,-122.163868,37.4452193
Willis Lounge,-122.1587958,37.4211789
Calave,-122.143672,37.42746899999999
Fairclough Lounge,-122.1599885,37.4224104
Mandarin Roots,-122.13603,37.420276
Nola,-122.1613454,37.44503270000001
Scotty's Bar & Grill,-122.1619465,37.4439958
Tresidder Oak Lounge,-122.1710892,37.42456689999999
SliderBar Restaurant,-122.160984,37.446152
Antonio's Nut House,-122.1439693,37.4271149
[ESC],-122.1427593,37.4605555
Hanky Panky Strip Bar,-122.215843,37.472445
Mazzocco's Club,-122.2102864,37.4757931
Fuki Sushi,-122.1258056,37.4138709
Reposado,-122.1609435,37.4441504
Fleming’s Prime Steakhouse & Wine Bar,-122.1703059,37.4445671
1 OAK,-118.3889246,34.0908353
Rage,-118.3845063,34.0849891
Nightingale Plaza,-118.376685,34.0832342
Penthouse Nightclub & Dayclub,-118.3859646,34.0825605
Peppermint Club,-118.3809607,34.0771589
Bootsy Bellows,-118.3928048,34.0904502
El Baron Restaurant & NightClub,-118.382531,34.030351
Westwood Nightclub (Inside Byblos),-118.4344278,34.0473787
Poppy,-118.3766731,34.0851589
Carbon,-118.3941224,34.0257228
Hyde Sunset Kitchen + Cocktails,-118.3660098,34.09821460000001
mmhmmm,-118.3708938,34.0959455
RASPOUTINE Los Angeles,-118.3808978,34.0821303
New York Fantasy Party LLC,-118.4185701,34.0604116
The Beverly,-118.3809595,34.07717
"Belly Dance , Oncy",-118.434445,34.0474398
Law Offices of Brian Paya,-118.4450372,34.0580457
Night club rescue,-118.4109876,34.0662433
nightclub jablonec,-118.3774933,34.0753309
The Viper Room,-118.384724,34.090438
The Clubhouse Bistro,-122.2769085,37.5622822
Roberto Lee Shipping,-122.3139879,37.55031
