name,long,lat
The Irish Pub,-73.98135649999999,40.7632617
McGee's pub.,-73.98287429999999,40.7649588
Playwright Celtic Pub,-73.98803199999999,40.759381
Connolly's Pub & Restaurant,-73.983625,40.7572822
The Playwright Irish Pub,-73.9853832,40.7497884
Carragher's,-73.9895414,40.7544
O'Reilly's Pub,-73.98887169999999,40.74758
Foley's,-73.9863088,40.7480906
Cassidys Pub,-73.977322,40.762862
Jameson's,-73.9679685,40.7559606
Murphy's,-73.96801490000001,40.7560519
Connolly's,-73.97774489999999,40.7561085
Connolly's Pub & Restaurant,-73.97754850000001,40.7621415
O'Lunney's,-73.9843343,40.7576408
Blaggards Pub,-73.9835879,40.7512069
Tír na Nóg,-73.99448629999999,40.7500449
The Long Room,-73.9843398,40.7564107
Jack Doyle's,-73.991941,40.752161
Gabby O'Haras,-73.9863984,40.7535778
Fitzgerald's Pub,-73.98246979999999,40.740054
O'Neills Irish Pub,-122.3243616,37.5671561
Original Nick's Pizzeria & Pub,-122.318084,37.555584
Paddy Flynn's,-122.3454297,37.5787241
The Alibi,-122.3451439,37.5784269
Mc Govern's Bar,-122.3220992,37.5645241
Moons Family Sports Pub,-122.3229116,37.5661192
Grape & Grain,-122.3243753,37.5648376
3rd Ave Sports Bar & Grill,-122.3246896,37.5640753
Mortar & Pestle Bar,-122.3234876,37.5669296
Jack's Restaurant and Bar San Mateo,-122.3131255,37.5510635
Amour Amour,-122.3213893,37.5650581
31st Union,-122.3248422,37.5670756
Bucky's Cocktail Lounge,-122.3129576,37.5538764
Osteria Coppa,-122.32337,37.566768
Barrelhouse,-122.345927,37.5798493
Three Craft Kitchen & Bar,-122.324839,37.5635868
B Street Station,-122.3229764,37.5658343
Pacific Catch,-122.322642,37.56594
Porterhouse,-122.3247931,37.5637114
Club Shoreview,-122.3099127,37.5708389
The Chieftain Irish Pub & Restaurant,-122.4052868,37.7814644
Johnny Foley's Irish House,-122.4088054,37.7862527
Murphy's Pub,-122.404076,37.7901832
Sutter Pub & Restaurant,-122.4120984,37.7889142
White Horse Restaurant,-122.4109629,37.7888233
The Irish Bank,-122.4046585,37.7903048
Kells Irish Restaurant & Pub,-122.4040682,37.7964868
