name,long,lat
The Windward School - Manhattan Lower and Middle Schools,-73.94989869999999,40.7829155
Hunter,-73.95410679999999,40.785624
Park West High School,-73.99308309999999,40.7653346
NYC Lab School for Collaborative Studies,-74.0023709,40.7425709
Stuyvesant High School,-74.0138644,40.7177577
New York City Board-Education,-73.9929049,40.7474253
School,-73.96650149999999,40.7672059
Beacon School,-73.9964725,40.7610515
Public School 84 JOSE DE DIEGO,-73.96301009999999,40.7150494
School of the Future,-73.9853658,40.7390867
School,-73.98463240000001,40.7702955
Avenues: The World School,-74.00325,40.74959399999999
New York Alt High School,-73.99255409999999,40.7529968
Dwight School,-73.968128,40.787495
City & Country School,-73.9993928,40.7374075
The Dalton School,-73.95508699999999,40.781585
St Luke's School,-74.0067037,40.7325862
Marymount School of New York,-73.96136820000001,40.7799655
Portfolio School,-74.0085304,40.7187471
The Beekman School,-73.970041,40.755287
Black Mountain Elementary School,-111.953875,33.790576
A Carefree Traffic Survival School,-111.9209028,33.8241483
Foothills Academy,-111.9264217,33.776485
Cactus Shadows High School,-111.9562547,33.7848147
Our Lady of Joy Catholic Preschool,-111.8899998,33.8196762
Foothills Academy College Prep,-111.927495,33.7768383
Black Mountain Ballpark,-111.9550422,33.7912608
"Epicurean Palette, LLC",-111.939487,33.8324327
Quality Interactive Montessori,-111.951652,33.834115
Bella Vista College Preparatory School,-111.9590698,33.78852639999999
Education & Community Services,-111.9533119,33.786085
Cave Creek Unified School District,-111.9534865,33.7857038
Futures Academy - San Mateo,-122.2799862,37.5584634
The Nueva School Hillsborough Campus,-122.3809035,37.5620457
Ronald C. Wornick Jewish Day School,-122.2676342,37.5576489
The Carey School,-122.318754,37.544701
The Nueva School San Mateo Campus,-122.2996261,37.5439281
North School,-122.3621159,37.5686579
Roosevelt Elementary School,-122.369779,37.579646
Washington Elementary School,-122.3404663,37.5805512
St. Matthew's Episcopal Day School,-122.3270935,37.56566840000001
Odyssey School,-122.3493084,37.53422279999999
San Mateo Adult School,-122.3283734,37.5778767
Crystal Springs Uplands School,-122.3387003,37.5579671
Crocker Middle School,-122.3636936,37.5658681
Borel Middle School,-122.3215136,37.5499646
Parkside Elementary School,-122.2966973,37.5614131
LEAD Elementary School,-122.3016472,37.5693268
Lincoln Elementary School,-122.3791195,37.5880802
San Mateo-Foster City School District,-122.2736234,37.5660877
Stanbridge Academy,-122.3300731,37.5751502
Foster City Elementary School,-122.2735413,37.5461173
Urban School of San Francisco,-122.4460845,37.7709383
San Francisco Day School,-122.4467149,37.7779012
San Francisco Friends School,-122.4227166,37.7690674
Town School for Boys,-122.440166,37.7920271
Ida B Wells High School,-122.4340281,37.7750892
Children's Day School,-122.4252873,37.7641444
International High School of San Francisco,-122.4216371,37.7753816
Stuart Hall High School,-122.427196,37.788625
San Francisco University High School,-122.4454646,37.7908898
Bessie Carmichael Middle School,-122.4004441,37.7806662
Drew School,-122.442352,37.787638
Convent & Stuart Hall,-122.4338688,37.7948351
The Bay School of San Francisco,-122.455646,37.8007795
Proof School,-122.4078617,37.7812058
AltSchool,-122.401198,37.7817596
Daniel Webster Elementary School,-122.3958437,37.7605811
The Hamlin School,-122.4324259,37.7948921
AltSchool Fort Mason,-122.4338898,37.8045766
McKinley Elementary School,-122.4364032,37.7671582
Cathedral School for Boys,-122.4138333,37.7922206
Futures Academy - Brentwood,-118.4691057,34.04234
Wildwood School,-118.4509236,34.033087
New West Charter School,-118.4551514,34.0358168
Windward School,-118.4261578,34.0174798
The Archer School for Girls,-118.471615,34.0650914
The John Thomas Dye School,-118.4634026,34.0874585
Crossroads School,-118.4738714,34.0245695
Harvard-Westlake School,-118.4340011,34.0887482
Concord Prep High School,-118.4936852,34.0210103
Palms Elementary School,-118.40773,34.0261274
"Brentwood School, West Campus",-118.4756298,34.0612035
"Brentwood School, East Campus",-118.468795,34.067168
University High School Charter,-118.4611375,34.045413
New Roads Upper School,-118.4613038,34.0313088
Palms Middle School,-118.4167228,34.0237297
Le Lycée Français de Los Angeles,-118.4153046,34.0273516
Crossroads Elementary School,-118.4780122,34.0226129
Marymount High School,-118.4452426,34.0759611
Sinai Akiba Academy,-118.428734,34.065989
Beverly Hills High School,-118.410425,34.0614638
Castilleja School,-122.1515977,37.4393284
Alto International School,-122.156933,37.461016
Menlo School,-122.1912193,37.4532623
The Primary School,-122.1333525,37.4610444
La Entrada Middle School,-122.2019191,37.4278331
Laurel School Upper Campus,-122.1490969,37.4600061
Woodland School,-122.19691,37.402995
Las Lomitas Elementary School,-122.2123859,37.4381044
The Peninsula School,-122.1662783,37.4664
International School of the Peninsula,-122.1255139,37.452516
Montessori School of Los Altos,-122.1123189,37.4148504
Duveneck Elementary School,-122.1344772,37.4500667
Escondido Elementary School,-122.1553109,37.4215229
International School of the Peninsula - Cowper Campus,-122.123566,37.426544
Ohlone Elementary School,-122.1233344,37.4392177
Encinal Elementary School,-122.1861609,37.4648602
Summit Preparatory Charter High School,-122.2101751,37.486738
Palo Verde Elementary School,-122.1144096,37.4309694
Hoover Elementary School,-122.2154838,37.4816628
Palo Alto High School,-122.1554811,37.4358156
Fairfax High School,-118.3597626,34.0821435
Wildwood School,-118.4509236,34.033087
Futures Academy - Beverly Hills,-118.3756465,34.0646096
Hamilton High School,-118.391615,34.034135
Harvard-Westlake School,-118.4340011,34.0887482
Turning Point School,-118.3848336,34.0271201
Palms Elementary School,-118.40773,34.0261274
Park Century School,-118.3875672,34.0264056
St Mary Magdalen Catholic School,-118.3775572,34.0549353
Wonderland Avenue Elementary School,-118.3798058,34.1142214
Le Lycée Français de Los Angeles,-118.4153046,34.0273516
Shalhevet School,-118.3628135,34.0597944
Holy Spirit STEM Academy,-118.354788,34.0477775
New West Charter School,-118.4551514,34.0358168
Marymount High School,-118.4452426,34.0759611
Sinai Akiba Academy,-118.428734,34.065989
Beverly Hills High School,-118.410425,34.0614638
Stratford School - West Los Angeles,-118.4508551,34.0364542
Beverly Vista Middle School,-118.3941593,34.0642734
Hawthorne School,-118.4042156,34.0792718
The Carey School,-122.318754,37.544701
The Nueva School Hillsborough Campus,-122.3809035,37.5620457
Futures Academy - San Mateo,-122.2799862,37.5584634
The Nueva School San Mateo Campus,-122.2996261,37.5439281
North School,-122.3621159,37.5686579
Nesbit Elementary School,-122.2748188,37.5249776
Roosevelt Elementary School,-122.369779,37.579646
Washington Elementary School,-122.3404663,37.5805512
St. Matthew's Episcopal Day School,-122.3270935,37.56566840000001
Odyssey School,-122.3493084,37.53422279999999
Crystal Springs Uplands School,-122.3387003,37.5579671
West Hillsborough Elementary & Preschool,-122.367407,37.550014
Crocker Middle School,-122.3636936,37.5658681
Borel Middle School,-122.3215136,37.5499646
Lincoln Elementary School,-122.3791195,37.5880802
San Mateo-Foster City School District,-122.2736234,37.5660877
Stanbridge Academy,-122.3300731,37.5751502
Foster City Elementary School,-122.2735413,37.5461173
Bayside Academy,-122.294413,37.5660466
College Park Elementary School,-122.3278906,37.5763316
American Indian Model Schools,-122.2654759,37.8000953
Bay Farm School,-122.2519223,37.7441211
Head-Royce School,-122.2051678,37.8079897
Oakland High School,-122.2360208,37.8041321
Fremont High School,-122.2089067,37.7745628
Urban Montessori Charter School Upper Campus,-122.2162935,37.7970959
Lincoln Middle School,-122.2311322,37.7526273
Community School For Creative,-122.2388126,37.7849697
St Paul's Episcopal School,-122.259996,37.811256
American Indian Public Charter School I,-122.1993536,37.7937362
Arise High School,-122.2247846,37.7758226
Oakland Unity Middle School,-122.1762405,37.7678499
Coastline Christian Schools,-122.2392431,37.7272181
Will C. Wood Middle School,-122.2624519,37.7613266
Skyline High School,-122.1618747,37.7980038
Laurel Elementary School,-122.196211,37.792805
Edison Elementary School,-122.2350305,37.76436
Oakland Charter High School,-122.2195789,37.7858651
Roses in Concrete,-122.1879941,37.7867279
Otis Elementary School,-122.2384897,37.7540352
School's,-118.2809376,34.051732
Cathedral High School,-118.23474,34.0691637
Robert F. Kennedy Community Schools,-118.2973342,34.0597621
Accelerated School,-118.2734343,34.010992
Oscar De La Hoya Ánimo Charter High School,-118.2033486,34.0234182
Miguel Contreras Learning Complex,-118.2609808,34.0574798
Pilgrim School,-118.2848656,34.0641165
Central City Value High School,-118.288617,34.075094
Metropolitan High School,-118.234409,34.033946
Bright Star Schools,-118.2821532,34.0624132
